type,project_id,project_name,id,label,amount,percent,due_date,actual_date,milestone_id,created_at,contract_value,contract_signed_date,expenses,expected_profit,milestone_kind,milestone_note,month,status,opening_cash,opening_cash_as_of,min_working_capital,prob_cold_lead,prob_hot_lead,prob_under_development,prob_commissioned
company,,,,,,,,,,,,,,,,,,,4000000,2026-07,200000,10,40,100,100
project,28bd60c4-becc-4311-a9db-62917590546d,Royal Cement Line 1 in Egypt,,,,,,,,,3000000,,,,,,,,,,,,,,
project,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,,,,,,,,,1000000,,380000,620000,,,,,,,,,,,,
payment,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,e958928b-c99e-41c6-b775-fec40133940f,Prepayment,600000,60,2026-09-01,,c8976971-9ef2-4729-b433-61037833ad99,2026-08-04T06:06:32.846Z,,,,,,,,,,,,,,,
payment,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,c62eb586-55e8-46ed-92b4-f4c94fce2101,Design approval,100000,10,2026-10-01,,2ff98b0a-e8f6-40be-88f2-4e55fc2b4d11,2026-08-04T06:09:47.582Z,,,,,,,,,,,,,,,
payment,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,06b13f4a-d616-40b6-ade0-0e722c362739,Engineering complete,100000,10,2026-10-01,,5b0f2026-0473-4010-bb57-d077d1ea27ff,2026-08-04T06:10:13.638Z,,,,,,,,,,,,,,,
payment,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,ef69783f-ca3d-4343-b247-67de93ef3e3e,FAT,100000,10,2027-03-01,,4f384ce9-4fb2-46eb-98c0-18e166332291,2026-08-04T06:10:54.126Z,,,,,,,,,,,,,,,
payment,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,222215cc-2f74-4182-978f-d1fe695239be,SAT,50000,5,2027-04-01,,9d13b99e-257f-4c6c-a7ad-8b3cd706e6b0,2026-08-04T06:11:06.468Z,,,,,,,,,,,,,,,
payment,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,d5345d92-e32b-4c20-a81f-42424449e8b1,FAC,50000,5,2027-05-01,,0637c335-54e9-4be8-825f-a6d3820e0172,2026-08-04T06:11:39.827Z,,,,,,,,,,,,,,,
expense,b2fd32ac-9d24-4ac4-8092-a5a106618c96,Ceramika PARADYŻ from Jersey,01ddd6bf-67b7-454e-80a2-d6db597663e3,Costs · Prepayment,228000,60,2026-10-01,,,,2026-08-04T18:41:00.000Z,,,,,,,,,,,,,,,
