__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,DT_DOC,DT_DOC_2S,DT_CHANGED,KASA,SMETKA,FIRMA,AGENT,PREWOZ,P_CONTACT,F_CONTACT,USD,DM,LV,S_1,S_2,S_3,S_4,S_5,LV_ZA_USD,LV_ZA_DM,DM_ZA_USD,LV_ZA_1,LV_ZA_2,LV_ZA_3,LV_ZA_4,LV_ZA_5,OWNER,SIGN_BY,FACTUR_ID,FACTUR_BY,FACTUR_NO,FACTUR_DT,FACTUR_EX,FACTUR_PN,FACTUR_PD,FACTUR_OS,ISTAT_DEAL_TYPE,ISTAT_STAT_PROC,ISTAT_TERMS,ISTAT_TRANS_TYPE,ISTAT_TRANS_FROM,ISTAT_REGION,PROPS,NOTE,IS_OPEN,DT_AVANS,CD_J_NUMBER,CD_J_DATE,CD_DDS,CD_DUTY
5255,1,1,1826566,1300661242,1300661313,1300661445,Z,0000000002,GENEBRE,,,,,0.0,0.0,966.76,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,,0,,,0,,,,,,,,,,,0,,1300600000,0.0,0.0
5255,2,1,6632939,1300838936,1300838984,1300839043,Z,0000000003,ШРАК ТЕХНИК ЕООД,,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,,0,,,0,,,,,,,,,,,0,,1300800000,0.0,0.0
5255,3,1,3165006,1300840392,1300840413,1300840440,Z,0000000004,УНИТЕЛ ЕООД,,,,,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,389,1300140424,,,0,,,,,,,,,,,0,,1300800000,0.0,0.0
5255,4,1,45452706,1301033731,1301033750,1301033869,Z,0000000005,ИФМ ЕЛЕКТРОНИК ЕООД,,,,,0.0,0.0,2424.84,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,36198,1278633838,,,0,,,,,,,,,,,0,,1301000000,0.0,0.0
5255,5,1,39972610,1301039128,1301039330,1301040591,Z,0000000006,КРИСМЕТАЛ,,,,,0.0,0.0,330.25,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,,0,,,0,,,,,,,,,Стари наличности,,0,,1301000000,0.0,0.0
5255,6,1,42051419,1301046530,1301046584,1301046830,Z,0000000007,КРИСМЕТАЛ,,,,,0.0,0.0,323.72,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,,0,,,0,,,,,,,,,,,0,,1301000000,0.0,0.0
5255,7,1,44607876,1301442025,1301442059,1301743763,Z,0000000008,КРИСМЕТАЛ,,,,,0.0,0.0,1374.004,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10142820,1301442971,,10142820,1301442498,,,,,,,,,,,0,,1301400000,0.0,0.0
5255,8,1,33676461,1301533578,1301533856,1301533943,Z,0000000009,ВАЛЕРУС - ВАЛЕРИ РУСИНОВ ЕТ,,,,,0.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,122170,1300933901,,,0,,,,,,,,,,,0,,1301500000,0.0,0.0
5255,9,1,35412902,1301534433,1301534453,1301534529,Z,0000000010,ВАЛЕРУС - ВАЛЕРИ РУСИНОВ ЕТ,,,,,0.0,0.0,7020.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,122217,1301334515,,,0,,,,,,,,,,,0,,1301500000,0.0,0.0
5255,10,1,36002260,1302135630,1302135652,1302135713,Z,0000000011,ПАТЛИДЖАНСКИ ООД,,,,,0.0,0.0,1814.4,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,28675,1302035699,,,0,,,,,,,,,,,0,,1302100000,0.0,0.0
5255,11,1,6878510,1300260009,1300260045,1300260430,Z,0000000001,КРИСМЕТАЛ,,,,,0.0,0.0,678.12,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10142438,1300260345,,,0,,,,,,,,,,,0,,1300200000,0.0,0.0
5255,12,1,50050216,1302241733,1302241775,1302242249,Z,0000000012,ДЕАТРЕЙД БГ ЕООД,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,3907,1301041932,,,0,,,,,,,,,,,0,,1302200000,0.0,0.0
5255,13,1,38382876,1302264600,1302264670,1302265066,Z,0000000013,КРИСМЕТАЛ,,,,,0.0,0.0,994.16,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10143120,1302264772,,,0,,,,,,,,,,,0,,1302200000,0.0,0.0
5255,14,1,48492385,1302341564,1302341729,1302341899,Z,0000000014,НИРСТРОЙ ООД,,,,,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,132017,1302341834,,,0,,,,,,,,,,,0,,1302300000,0.0,0.0
5255,15,1,45264615,1302357353,1302357397,1302357701,Z,0000000015,SUZHOU,,,,,2809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,VMA2025081801,1301357673,,,0,,,,,,,,,,,0,,1302300000,0.0,0.0
5255,16,1,37527279,1302362170,1302362210,1302362336,Z,0000000016,ИВДА-ГЕО ООД,,,,,0.0,0.0,145.35,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,164578,1302362327,,,0,,,,,,,,,,,0,,1302300000,0.0,0.0
5255,17,1,41568590,1302439015,1302439069,1302439547,Z,0000000017,ИФМ ЕЛЕКТРОНИК ЕООД,,,,,0.0,0.0,8882.704,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,38838,1302239536,,,0,,,,,,,,,,,0,,1302400000,0.0,0.0
5255,18,1,46806278,1302440687,1302440736,1302440921,Z,0000000018,СМ СЕНЗОРМАТИК ЕООД,,,,,0.0,0.0,5754.888,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,6013,1302140895,,,0,,,,,,,,,,,0,,1302400000,0.0,0.0
5255,19,1,41742386,1302462513,1302462673,1311433788,Z,0000000019,АПОГЕЙ 99 ООД,,,,,0.0,0.0,3661.32,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,2282,1302162727,,,0,,,,,,,,,,,0,,1302400000,0.0,0.0
5255,20,1,38839568,1302833591,1302833620,1302833794,Z,0000000020,ЯВОР-М ЕООД,,,,,0.0,0.0,171.9,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,96911,1302433755,,,0,,,,,,,,,,,0,,1302800000,0.0,0.0
5594,0,1,44088566,1302862987,1302863030,1303052182,Z,0000000021,КРИСМЕТАЛ,,,,,0.0,0.0,673.136,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,143284,1302863910,Y,,0,,,,,,,,,,,0,,1302800000,0.0,0.0
5594,1,1,34039120,1302958692,1302958725,1302958794,Z,0000000022,ИТТ БЪЛГАРИЯ ЕООД,,,,,0.0,0.0,192.912,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10505475,1302858775,,,0,,,,,,,,,,,0,,1302900000,0.0,0.0
5594,2,1,37387668,1303052648,1303052794,1303053306,Z,0000000023,GENEBRE,,,,,0.0,0.0,245.66999999999996,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,1419196,1302253263,,,0,,,,,,,,,,,0,,1303000000,0.0,0.0
5594,3,1,43579242,1303137901,1303137992,1303139346,Z,0000000024,GENEBRE,,,,,0.0,0.0,26334.98,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,1419195,1302239030,,,0,,,,,,,,,,,0,,1303100000,0.0,0.0
5594,4,1,49165007,1303535747,1303536002,1303536028,Z,0000000025,стругарно,,,,,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,,0,,,0,,,,,,,,,,,0,,1303500000,0.0,0.0
5594,5,1,36655735,1303551848,1303551903,1303551947,Z,0000000026,ИНТЕРМЕТАЛ ООД,,,,,0.0,0.0,96.876,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,1172018,1303551935,,,0,,,,,,,,,,,0,,1303500000,0.0,0.0
5594,6,1,48827536,1303865207,1303865234,1303869486,Z,0000000027,КРИСМЕТАЛ,,,,,0.0,0.0,35262.0373,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10143532,1303769468,,,0,,,,,,,,,,,0,,1303800000,0.0,0.0
5594,7,1,46404986,1303869947,1303869987,1303870379,Z,0000000028,КРИСМЕТАЛ,,,,,0.0,0.0,4321.704,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10143548,1303770325,,,0,,,,,,,,,,,0,,1303800000,0.0,0.0
5594,8,1,43401378,1304932442,1304932470,1304932544,Z,0000000029,КРИСМЕТАЛ,,,,,0.0,0.0,78.1,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10143544,1303732524,,,0,,,,,,,,,,,0,,1304900000,0.0,0.0
5594,9,1,48727531,1305141456,1305141553,1305141612,Z,0000000030,КРИСМЕТАЛ,,,,,0.0,0.0,153.36,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10143626,1303841598,,,0,,,,,,,,,,,0,,1305100000,0.0,0.0
5594,10,1,38019176,1305142995,1305143072,1305143387,Z,0000000031,ИТТ БЪЛГАРИЯ ЕООД,,,,,0.0,0.0,90.38,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,10511494,1304943373,,,0,,,,,,,,,,,0,,1305100000,0.0,0.0
5594,11,1,46080348,1305155899,1305155947,1305156068,Z,0000000032,КОМЕТ ЕЛЕКТРОНИКС ООД,,,,,0.0,0.0,91.2,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,429962,1304155999,,,0,,,,,,,,,,,0,,1305100000,0.0,0.0
5594,12,1,48085251,1305158037,1305158180,1305158387,Z,0000000033,ХАРД ТЕХ ООД,,,,,0.0,0.0,191.8,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,19613,1304558373,,,0,,,,,,,,,,,0,,1305100000,0.0,0.0
5594,13,1,44383859,1305158413,1305158461,1305158527,Z,0000000034,ХАРД ТЕХ ООД,,,,,0.0,0.0,128.04,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,19615,1304558517,,,0,,,,,,,,,,,0,,1305100000,0.0,0.0
5594,14,1,42624232,1305158542,1305158569,1305158714,Z,0000000035,ХАРД ТЕХ ООД,,,,,0.0,0.0,135.52,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,19614,1304558703,,,0,,,,,,,,,,,0,,1305100000,0.0,0.0
5594,15,1,49623025,1305162736,1305162762,1305163219,Z,0000000036,ДЕЛТА ИНСТРУМЕНТ ООД,,,,,0.0,0.0,4440.0,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,24181,1304563199,,,0,,,,,,,,,,,0,,1305100000,0.0,0.0
5594,16,1,41001099,1305234818,1305234931,1305235002,Z,0000000037,ТАШЕВ ГАЛВИНГ ООД,,,,,0.0,0.0,7.59,0.0,0.0,0.0,0.0,0.0,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,ADMIN,,D,Грийн Иновейшън АД,2698164,1304334980,,,0,,,,,,,,,,,0,,1305200000,0.0,0.0
