__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATE_CREATED,DT_CHANGED,STOKA_CHANGED,GRUPA,STOKA,CODE,BARCODE,VALUTA_KUP,VALUTA_PROD_ED,VALUTA_PROD_DR,RAZFAS1,RAZFAS2,RELATOR,CENA_KUP,CENA_PROD_ED1,CENA_PROD_DR1,DDS_DEF,PROPS,NOTE,IS_SER_NO,MIN_KOLICH,MAX_KOLICH,WARRANTY,DOSTAW,INTRASTAT,COUNTRY,TEGLO,TREND,FOTO,FOTO2,FOTO3,THUMBNAIL,THUMBNAIL2,THUMBNAIL3,ASSOC,IS_ACTIVE,ACC_TIP,EEO_NO,EEO_TEGLO,WEB_IS_FOTO_CHANGED,CAT_ID,BONUS_ADD,BONUS_SUB,IS_ACTIVE_WEB,IS_ACTIVE_PARENT,IS_ACTIVE_WEB_PARENT,IS_VALID_EAN13,ITEM_ID,DT_CHANGED_FOTO,FOLLOW_NUM,WEB_PRODUCT_NAME,WEB_PRODUCT_NOTE,WEB_PRODUCT_NAME_EN,WEB_PRODUCT_NOTE_EN,WEB_PRODUCT_NAME2,WEB_PRODUCT_NAME2_EN,NOTE2,RAZFAS_STEP,WEB_MIN_KOLICH,KOLICH_STEP,KOLICH_STEP_DOST,NOTE_FG_COLOR,SIZE_X,SIZE_Y,SIZE_Z,WIN_MIN_KOLICH,FISCAL_RISK
1662,2,1,2025-08-06 14:30:23.523,1319852426,2026-07-27 13:04:47.650,М/Ж резба,Преход 316L резба М/Ж 1/2“х1/4“,102105,00001405,M,L,L,бр.,,,0.83,0.0,0.0,,|1—преход м/ж|2—1/2х1/4|,,N,1.0,2.0,,КРИСМЕТАЛ,0,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,2,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,4,1,2025-08-06 14:30:23.991,1319851342,2026-06-23 11:02:06.443,М/Ж резба,Преход 316L резба М/Ж 3/4“х1/4“,102108,00001406,M,L,L,бр.,,,3.53,0.0,0.0,,|1—преход м/ж|2—3/4х1/4|,,N,1.0,2.0,,КРИСМЕТАЛ,38,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,3,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,6,1,2025-08-06 14:31:17.648,1322341702,2026-06-23 11:01:12.509,М/Ж резба,Преход 316L резба М/Ж 3/4“х1/2“,102110,00001407,M,L,L,бр.,,,1.14,0.0,0.0,,|1—преход м/ж|2—3/4х1/2|,,N,1.0,2.0,,КРИСМЕТАЛ,18,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,4,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,8,1,2025-08-06 14:31:19.991,1319852594,2026-06-23 11:01:12.556,М/Ж резба,Преход 316L резба М/Ж 1“х1/2“,102114,00001408,M,L,L,бр.,,,1.789515,0.0,0.0,,|1—преход м/ж|2—1х1/2|,,N,1.0,2.0,,КРИСМЕТАЛ,12,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,5,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,10,1,2025-08-06 14:31:20.023,1322341737,2026-06-23 11:01:12.759,М/Ж резба,Преход 316L резба М/Ж 1 1/2“х1/2“,102120,00001409,M,L,L,бр.,,,4.05,0.0,0.0,,|1—преход м/ж|2—1 1/2х1/2|,,N,1.0,2.0,,КРИСМЕТАЛ,1,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,6,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,12,1,2025-08-06 14:31:20.031,1322341665,2026-06-23 10:48:40.048,2.2. Фитинги за заваряване,Полунипел 316L 150LBS 1/4“,108602,00001385,M,L,L,бр.,,,0.72,0.0,0.0,,|1—полунипел|2—1/4`|,,N,1.0,2.0,,КРИСМЕТАЛ,22,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,7,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,14,1,2025-08-06 14:31:20.042,1331736505,2026-07-10 09:54:32.805,2.2. Фитинги за заваряване,Полунипел 316L 150LBS 1/2“,108604,00001386,M,L,L,бр.,,,0.79,0.0,0.0,,|1—полунипел|2—1/2`|,,N,1.0,2.0,,КРИСМЕТАЛ,14,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,8,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,16,1,2025-08-06 14:31:20.055,1319852395,2026-06-23 10:48:40.048,2.2. Фитинги за заваряване,Полунипел 316L 150LBS 1“,108606,00001387,M,L,L,бр.,,,1.29,0.0,0.0,,|1—полунипел|2—1`|,,N,1.0,2.0,,КРИСМЕТАЛ,16,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,9,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,18,1,2025-08-06 14:31:20.063,1322033567,2026-06-23 10:48:40.048,2.2. Фитинги за заваряване,Полунипел 316L 150LBS 1 1/2“,108608,00001388,M,L,L,бр.,,,2.766079,0.0,0.0,,|1—полунипел|2—1 1/2`|,,N,1.0,2.0,,КРИСМЕТАЛ,0,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,10,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,20,1,2025-08-06 14:31:20.075,1322341403,2026-07-10 10:03:01.390,Външна резба,Нипел намалител 316L 150LBS 1/4“х1/8“,106101,00001356,M,L,L,бр.,,,0.64,0.0,0.0,,|1—нипел намалител|2—1/4х1/8|,,N,1.0,2.0,,КРИСМЕТАЛ,4,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,11,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
1662,22,1,2025-08-06 14:31:20.084,1322341317,2026-06-23 11:02:34.551,Външна резба,Нипел намалител 316L 150LBS 1/2“х1/4“,106105,00001357,M,L,L,бр.,,,1.16,0.0,0.0,,|1—нипел намалител|2—1/2х1/4|,,N,1.0,2.0,,КРИСМЕТАЛ,8,,,1.5,,,,,,,,Y,0,,0.0,,,0.0,0.0,Y,Y,Y,N,12,,0.0,,,,,,,,,,,,0,0.0,0.0,0.0,,N
