relation_id,table,csv_file,rows_exported,field_count,latest_format,formats_seen,row_errors
128,A_OPER,tables/A_OPER.csv,0,6,1,,0
129,A_OPER_DEF,tables/A_OPER_DEF.csv,0,3,1,,0
130,ACTIVI,tables/ACTIVI.csv,0,14,1,,0
131,ALIGN,tables/ALIGN.csv,0,19,1,,0
132,ALIGN_ITEMS,tables/ALIGN_ITEMS.csv,0,6,1,,0
133,BACK_STOKA,tables/BACK_STOKA.csv,0,40,1,,0
134,AVANS_LINKS,tables/AVANS_LINKS.csv,0,4,1,,0
135,BACK_STOKA_ITEMS,tables/BACK_STOKA_ITEMS.csv,0,38,2,,0
136,BARCODES,tables/BARCODES.csv,0,5,1,,0
137,BOX,tables/BOX.csv,0,31,1,,0
138,BOX_ITEMS,tables/BOX_ITEMS.csv,0,27,1,,0
139,BUDGET,tables/BUDGET.csv,0,7,1,,0
140,BUDGET_ACTIVI,tables/BUDGET_ACTIVI.csv,0,4,1,,0
141,B_MARKET,tables/B_MARKET.csv,0,11,1,,0
142,CAT_CATEGS,tables/CAT_CATEGS.csv,0,4,1,,0
143,CAT_VALUES,tables/CAT_VALUES.csv,0,3,1,,0
144,CAT_LINKS,tables/CAT_LINKS.csv,0,4,1,,0
145,CENI,tables/CENI.csv,207,12,1,1:207,0
146,CENI_ITEMS,tables/CENI_ITEMS.csv,3221,25,1,1:3221,0
147,CODES,tables/CODES.csv,0,12,1,,0
148,CONNECTS_BY,tables/CONNECTS_BY.csv,0,1,1,,0
149,COUNTRIES,tables/COUNTRIES.csv,248,5,1,1:248,0
150,CRM_CUSTOM_FIELDS_DEF,tables/CRM_CUSTOM_FIELDS_DEF.csv,0,4,1,,0
151,CRM_NOTIFICATIONS,tables/CRM_NOTIFICATIONS.csv,0,11,1,,0
152,CRM_REPORTS,tables/CRM_REPORTS.csv,0,13,1,,0
153,CRM_STATUSES,tables/CRM_STATUSES.csv,8,2,1,1:8,0
154,CRM_TASK_CUSTOM_FIELDS,tables/CRM_TASK_CUSTOM_FIELDS.csv,0,4,1,,0
155,CRM_TASK_DOC,tables/CRM_TASK_DOC.csv,0,8,1,,0
156,CRM_TASK_EMAIL,tables/CRM_TASK_EMAIL.csv,0,11,1,,0
157,CRM_TASK_FIRMA,tables/CRM_TASK_FIRMA.csv,0,7,1,,0
158,CRM_TASK_LINK,tables/CRM_TASK_LINK.csv,0,5,1,,0
159,CRM_TASK_LOG,tables/CRM_TASK_LOG.csv,0,13,1,,0
160,CRM_TASK_STOKA,tables/CRM_TASK_STOKA.csv,0,7,1,,0
161,CRM_TASKS,tables/CRM_TASKS.csv,0,18,3,,0
162,CTRL_POINTS,tables/CTRL_POINTS.csv,0,4,1,,0
163,CTRL_CARDS,tables/CTRL_CARDS.csv,0,3,1,,0
164,CTRL_STATS,tables/CTRL_STATS.csv,0,4,1,,0
165,DISTRIB_TAB,tables/DISTRIB_TAB.csv,0,2,1,,0
166,DISTRIB_TEMP,tables/DISTRIB_TEMP.csv,0,10,1,,0
167,DOC_CONTACTS,tables/DOC_CONTACTS.csv,0,10,1,,0
168,DOC_CONTAINER,tables/DOC_CONTAINER.csv,0,26,1,,0
169,DOC_LINKS,tables/DOC_LINKS.csv,0,8,1,,0
170,DRUGI,tables/DRUGI.csv,0,34,1,,0
171,ETAPS,tables/ETAPS.csv,0,3,1,,0
172,ETAPS_MACHINES,tables/ETAPS_MACHINES.csv,0,3,1,,0
173,ETAPS_PROD,tables/ETAPS_PROD.csv,0,13,1,,0
174,FAC_NO,tables/FAC_NO.csv,12,4,1,1:12,0
175,FINGERS,tables/FINGERS.csv,0,4,1,,0
176,FIRM_CONTACTS,tables/FIRM_CONTACTS.csv,0,15,2,,0
177,FIRMI,tables/FIRMI.csv,176,96,2,1:78;2:98,0
178,FISCAL_UNITS,tables/FISCAL_UNITS.csv,0,8,1,,0
179,GDPR,tables/GDPR.csv,1,3,1,1:1,0
180,GDPR_CONSENTS,tables/GDPR_CONSENTS.csv,4,3,1,1:4,0
181,GDPR_GOALS,tables/GDPR_GOALS.csv,4,3,1,1:4,0
182,GDPR_PERSON_GOALS,tables/GDPR_PERSON_GOALS.csv,3,2,1,1:3,0
183,GDPR_PERSON_FIELDS,tables/GDPR_PERSON_FIELDS.csv,1,13,1,1:1,0
184,GRUPI,tables/GRUPI.csv,174,36,1,1:174,0
185,IN_WORK,tables/IN_WORK.csv,1,3,1,1:1,0
186,IO_GRAPH,tables/IO_GRAPH.csv,0,4,1,,0
187,IO_RAMPS,tables/IO_RAMPS.csv,0,3,1,,0
188,IO_TRUCKS,tables/IO_TRUCKS.csv,0,15,1,,0
189,KASI_BANKI,tables/KASI_BANKI.csv,0,12,1,,0
