relation_id,table,field_position,field_name,dtype_code,dtype,length,scale,subtype,offset_latest_format,latest_format
128,A_OPER,0,ID,9,long,4,0,0,4,1
128,A_OPER,1,SM_TYPE,9,long,4,0,0,8,1
128,A_OPER,2,SM_DATETIME,9,long,4,0,0,12,1
128,A_OPER,3,OPERATION_ID,9,long,4,0,0,16,1
128,A_OPER,4,USER_ID,9,long,4,0,0,20,1
128,A_OPER,5,OPERATION_DT,16,timestamp,8,0,0,24,1
129,A_OPER_DEF,0,ID,9,long,4,0,0,4,1
129,A_OPER_DEF,1,OPERATION,1,text,48,0,0,8,1
129,A_OPER_DEF,2,POS,9,long,4,0,0,56,1
130,ACTIVI,0,ACTIV_ID,9,long,4,0,0,4,1
130,ACTIVI,1,ID,9,long,4,0,0,8,1
130,ACTIVI,2,TIP,1,text,4,0,0,12,1
130,ACTIVI,3,NAME,1,text,128,0,0,16,1
130,ACTIVI,4,DT_ACT,9,long,4,0,0,144,1
130,ACTIVI,5,DT_DEACT,9,long,4,0,0,148,1
130,ACTIVI,6,SKLAD,1,text,48,0,0,152,1
130,ACTIVI,7,KB_ID,9,long,4,0,0,200,1
130,ACTIVI,8,GRUPA,1,text,48,0,0,204,1
130,ACTIVI,9,STOKA,1,text,48,0,0,252,1
130,ACTIVI,10,TIP_CENI,1,text,4,0,0,300,1
130,ACTIVI,11,SUMA_BEG,12,double,8,0,0,304,1
130,ACTIVI,12,SUMA_END,12,double,8,0,0,312,1
130,ACTIVI,13,PROC,12,double,8,0,0,320,1
131,ALIGN,0,DATETIME,9,long,4,0,0,4,1
131,ALIGN,1,DT_DOC,9,long,4,0,0,8,1
131,ALIGN,2,DT_CHANGED,9,long,4,0,0,12,1
131,ALIGN,3,SMETKA,1,text,32,0,0,16,1
131,ALIGN,4,FIRMA1,1,text,48,0,0,48,1
131,ALIGN,5,FIRMA2,1,text,48,0,0,96,1
131,ALIGN,6,OWNER,1,text,48,0,0,144,1
131,ALIGN,7,CENA,12,double,8,0,0,192,1
131,ALIGN,8,VALUTA,1,text,1,0,0,200,1
131,ALIGN,9,NOTE,1,text,255,0,0,201,1
131,ALIGN,10,IS_OPEN,1,text,1,0,0,456,1
