__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,CODE,NAME,READ_FROM,CREATE_FROM,NOMENCLATURE_FROM,IS_VALUE
1602,0,1,0,#NONE,<НЕЗАДАДЕН>,,,,0
1602,1,1,1,#VALUT_QTY,Количество валута,#ACC_ANALYTIC_CONTO@@PARAM2,,,1
1602,2,1,2,#VALUT_RATE,Валутен курс,#ACC_ANALYTIC_CONTO@@PARAM2,#ACC_DOCUMENTS@@VALUT_RATE,,0
1602,3,1,3,#VALUT_CODE,Валута (Код),#ACC_ANALYTIC_CONTO@@PARAM3,#ACC_DOCUMENTS@@VALUT_CODE,,0
1602,4,1,4,#SKLAD,"Обект (склад, магазин, цех и др.)",#ACC_ANALYTIC_CONTO@@PARAM1,#ACC_DOCUMENTS_ITEMS@@ID_STORES,#ACC_STORES@@ID@NAME,0
1602,5,1,5,#STOCK,"Стока, материал, продукция, услуга...",#ACC_ANALYTIC_CONTO@@PARAM1,#ACC_DOCUMENTS_ITEMS@@STOCK_ID,#ACC_STOCKS@@ID@STOCK_NAME,0
1602,6,1,6,#STOCK_TYPE,Тип номенклатура,#ACC_ANALYTIC_CONTO@@PARAM1,#ACC_DOCUMENTS_ITEMS@@ID_STOCKSTYPES,#ACC_STOCKS_TYPES@@ID@FULLNAME,0
1602,7,1,7,#STOCK_QTY,Количество,#ACC_ANALYTIC_CONTO@@PARAM2,#ACC_DOCUMENTS_ITEMS@@QUANTITY,,1
1602,8,1,8,#AMOUNT,Стойност,#ACC_ANALYTIC_CONTO@@PARAM2,#ACC_DOCUMENTS_ITEMS@@(TOTAL_PRICE+SUM_ADDEXPENSE),,1
1602,9,1,9,#CONTRAGENT,Контрагент,#ACC_ANALYTIC_CONTO@@PARAM1,#ACC_DOCUMENTS@@ID_CONTRAGENT,#ACC_CONTRAGENTS@@ID@FIRM_NAME,0
1602,10,1,12,#DOC_TYPE,Тип на документа,#ACC_ANALYTIC_CONTO@@PARAM1,#ACC_DOCUMENTS@@ID_DOCTYPES,#ACC_DOCTYPES@@ID@SHORTNAME_2007,0
1602,11,1,14,#DOC_NUMBER,Номер на документа,#ACC_ANALYTIC_CONTO@@PARAM3,#ACC_DOCUMENTS@@DOC_NUMBER,,0
1602,12,1,15,#DOC_DATE,Дата на документа,#ACC_ANALYTIC_CONTO@@PARAM3,#ACC_DOCUMENTS@@DOC_DATE,,0
1602,13,1,16,#BANK_PDESK,Банка/Каса,#ACC_ANALYTIC_CONTO@@PARAM1,#ACC_DOCUMENTS@@PAY_BANK_KASA_ID,#ACC_BANK@@ID@NAME,0
