__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,FULLNAME,SHORTNAME,DDSDISK_NUM,PRIMARYTYPE,DOCUMENTTYPE,INOUTTYPE,ENABLED,DDSDISK_2007,FULLNAME_2007,SHORTNAME_2007
1605,0,1,101,Опростена фактура (продажба),ОФ(+),01,1,101,1,1,01,Фактура (продажба),Ф(+)
1605,1,1,102,Дебитно известие (продажба),ДИ(+),02,1,101,1,1,02,Дебитно известие (продажба),ДИ(+)
1605,2,1,103,Кредитно известие (продажба),КИ(+),03,1,101,1,1,03,Кредитно известие (продажба),КИ(+)
1605,3,1,104,Данъчна фактура (продажба),ДФ(+),04,1,101,1,1,01,Фактура (продажба),Ф(+)
1605,4,1,105,Данъчно дебитно известие (продажба),ДДИ(+),05,1,101,1,1,02,Дебитно известие (продажба),ДИ(+)
1605,5,1,106,Данъчно кредитно известие (продажба),ДКИ(+),06,1,101,1,1,03,Кредитно известие (продажба),КИ(+)
1605,6,1,107,Митническа декларация (износ),МД(+),07,1,101,1,1,07,Митническа декларация (износ),МД(+)
1605,7,1,108,Отчет за продажбите (продажба),ОП(+),08,1,101,1,1,81,Отчет за извършените продажби,ОИП
1605,8,1,109,Протокол или друг документ (продажба),ДД(+),09,1,101,1,1,09,Протокол или друг документ (продажба),ПР(+)
1605,9,1,110,,,00,1,101,1,1,82,Отчет за извършените продажби при специален ред на облагане,ОИПСРО
1605,10,1,111,Фактура-касова отчетност (продажба),ФКО(+),11,1,101,1,1,11,Фактура-касова отчетност (продажба),ФКО(+)
1605,11,1,112,Дебитно известие-касова отчетност (продажба),ДИКО(+),12,1,101,1,1,12,Дебитно известие-касова отчетност (продажба),ДИКО(+)
1605,12,1,113,Кредитно известие-касова отчетност (продажба),КИКО(+),13,1,101,1,1,13,Кредитно известие-касова отчетност (продажба),КИКО(+)
1605,13,1,114,Фактура (дистанционна продажба),Ф(ДП),01,1,101,1,1,01,Фактура (дистанционна продажба),Ф(ДП)
1605,14,1,115,Дебитно известие (дистанционна продажба),ДИ(ДП),02,1,101,1,1,02,Дебитно известие (дистанционна продажба),ДИ(ДП)
1605,15,1,116,Кредитно известие (дистанционна продажба),КИ(ДП),03,1,101,1,1,03,Кредитно известие (дистанционна продажба),КИ(ДП)
1605,16,1,201,Опростена фактура (покупка),ОФ(-),01,1,101,2,1,01,Фактура (покупка),Ф(-)
1605,17,1,202,Дебитно известие (покупка),ДИ(-),02,1,101,2,1,02,Дебитно известие (покупка),ДИ(-)
1605,18,1,203,Кредитно известие (покупка),КИ(-),03,1,101,2,1,03,Кредитно известие (покупка),КИ(-)
1605,19,1,204,Данъчна фактура (покупка),ДФ(-),04,1,101,2,1,01,Фактура (покупка),Ф(-)
1605,20,1,205,Данъчно дебитно известие (покупка),ДДИ(-),05,1,101,2,1,02,Дебитно известие (покупка),ДИ(-)
1605,21,1,206,Данъчно кредитно известие (покупка),ДКИ(-),06,1,101,2,1,03,Кредитно известие (покупка),КИ(-)
1605,22,1,207,Митническа декларация(внос),МД(-),07,1,101,2,1,07,Митническа декларация(внос),МД(-)
1605,23,1,208,Отчет за продажбите,ОП,08,1,101,2,1,00,Отчет за продажбите,ОП
1605,24,1,209,Протокол или друг документ (покупка),ДД(-),09,1,101,2,1,09,Протокол или друг документ (покупка),ПР(-)
1605,25,1,211,Фактура-касова отчетност (покупка),ФКО(-),11,1,101,2,1,11,Фактура-касова отчетност (покупка),ФКО(-)
1606,0,1,212,Дебитно известие-касова отчетност (покупка),ДИКО(-),12,1,101,2,1,12,Дебитно известие-касова отчетност (покупка),ДИКО(-)
1606,1,1,213,Кредитно известие-касова отчетност (покупка),КИКО(-),13,1,101,2,1,13,Кредитно известие-касова отчетност (покупка),КИКО(-)
1606,2,1,301,Приходен касов ордер,ПКО,00,1,102,1,1,00,Приходен касов ордер,ПКО
1606,3,1,302,Разходен касов ордер,РКО,00,1,102,2,1,00,Разходен касов ордер,РКО
1606,4,1,303,Банково бордеро,ББ,00,1,103,0,1,00,Банково бордеро,ББ
1606,5,1,311,Приходен касов ордер (многоредов),ПКО(М),00,1,102,1,1,00,Приходен касов ордер (многоредов),ПКО(М)
1606,6,1,312,Разходен касов ордер (многоредов),РКО(М),00,1,102,2,1,00,Разходен касов ордер (многоредов),РКО(М)
1606,7,1,401,Мемориален ордер,МО,00,1,204,0,1,00,Мемориален ордер,МО
1606,8,1,100000,Амортизационен протокол,АП,00,3,301,0,1,00,Амортизационен протокол,АП
1606,9,1,100001,Заприходяване,ЗАПР,00,3,302,2,1,00,Заприходяване,ЗАПР
1606,10,1,100002,"Влагане, изписване",ВлгИзп,00,3,303,1,1,00,"Влагане, изписване",ВлгИзп
1606,11,1,100003,Продукция,ПРОД,00,3,304,2,1,00,Продукция,ПРОД
1606,12,1,100004,Фактура (ВОП),Ф(ВОП),00,3,305,2,1,00,Фактура (ВОП),Ф(ВОП)
1606,13,1,100005,Прихващане задължения,Прих,00,3,306,0,1,00,Прихващане задължения,Прих
1606,14,1,100006,Фактура внос,Ф(Внос),00,3,307,2,1,00,Фактура внос,Ф(Внос)
1606,15,1,100007,Кредитно известие (ВОП),КИ(ВОП),00,3,308,2,1,00,Кредитно известие (ВОП),КИ(ВОП)
1606,16,1,100008,Дебитно известие (ВОП),ДИ(ВОП),00,3,309,2,1,00,Дебитно известие (ВОП),ДИ(ВОП)
1606,17,1,100009,Разфасоване,РАЗФ,00,3,310,1,1,00,Разфасоване,РАЗФ
1606,18,1,100010,ДДС към Фактура(покупка),ДДСФ(-),00,3,311,2,1,00,ДДС към Фактура(покупка),ДДСФ(-)
1606,19,1,100111,Разписка (продажба),РАЗП(+),09,1,101,1,1,09,Разписка (продажба),РАЗП(+)
1606,20,1,100112,Разписка (покупка),РАЗП(-),09,1,101,2,1,09,Разписка (покупка),РАЗП(-)
1606,21,1,100113,"Протокол чл.151в,ал.3 (продажба)",ПР151В3(+),91,1,101,1,1,91,"Протокол чл.151в,ал.3 (продажба)",ПР151В3(+)
1606,22,1,100114,"Протокол чл.151в,ал.3 (покупка)",ПР151В3(-),91,1,101,2,1,91,"Протокол чл.151в,ал.3 (покупка)",ПР151В3(-)
1606,23,1,100115,"Протокол чл.151г,ал.8 (покупка)",ПР151Г8(-),92,1,101,2,1,92,"Протокол чл.151г,ал.8 (покупка)",ПР151Г8(-)
1606,24,1,100116,Ваучер за храна (продажба),ВХ(+),00,1,101,1,1,00,Ваучер за храна (продажба),ВХ(+)
1606,25,1,100117,Ваучер за храна (покупка),ВХ(-),00,1,101,2,1,00,Ваучер за храна (покупка),ВХ(-)
