__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID_DOCTYPES,LINE_NUMBER,DISPLAY_CAPTION
1607,0,1,108,1,Обща сума на данъчните основи  за ДДС 20%
1607,1,1,108,2,Обща сума на данъка за ДДС 20%
1607,2,1,108,3,Обща сума на данъчните основи  за ДДС 7%
1607,3,1,108,4,Обща сума на данъка за ДДС 7%
1607,4,1,108,5,Обща сума на данъчните основи  за ДДС 0%
1607,5,1,108,6,Обща сума на данъчните основи на освободените доставки
1607,6,1,303,1,По документ
1607,7,1,303,2,Такса
1607,8,1,303,3,Комисионна
1607,9,1,303,4,Лихва
1607,10,1,303,5,Паричен трансфер
1607,11,1,303,20,Друго
1607,12,1,311,1,По документ
1607,13,1,311,2,Такса
1607,14,1,311,3,Комисионна
1607,15,1,311,4,Лихва
1607,16,1,311,5,Паричен трансфер
1607,17,1,311,20,Друго
1607,18,1,312,1,По документ
1607,19,1,312,2,Такса
1607,20,1,312,3,Комисионна
1607,21,1,312,4,Лихва
1607,22,1,312,5,Паричен трансфер
1607,23,1,312,20,Друго
