__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,ID_DOCTYPES,FULLNAME
1608,0,1,100,109,"Протокол по чл.117, ал.2 ЗДДС (Друго)"
1608,1,1,101,109,"Протокол по чл.117, ал.2 ЗДДС (ВОП)"
1608,2,1,102,109,"Протокол по чл.117, ал.2 ЗДДС (чл.82, ал.2-4)"
1608,3,1,110,109,"Протокол по чл.117, ал.4 ЗДДС"
1608,4,1,120,109,"Протокол по чл.116, ал.4 ЗДДС - Корекция (Анулиране)"
1608,5,1,130,109,"Протокол по чл.163б, ал.2 ЗДДС"
1608,6,1,140,109,"Протокол за корекция на ползван данъчен кредит - чл.79, ал.1 и 3 ЗДДС"
1608,7,1,150,109,"Протокол за корекция на ползван данъчен кредит - чл.79, ал.2 ЗДДС"
1608,8,1,160,109,"Протокол за корекция на ползван данъчен кредит - чл.66, ал.7 ППЗДДС"
1608,9,1,170,109,Протокол за доставки по Глава 17 ЗДДС
1608,10,1,200,209,"Протокол по чл.117, ал.2 ЗДДС"
1608,11,1,201,209,"Протокол по чл.117, ал.4 ЗДДС"
1608,12,1,202,209,"Протокол по чл.116, ал.4 ЗДДС - Корекция (Анулиране)"
1608,13,1,203,209,"Протокол за увеличение на ползван на частичен ДК - чл.79, ал.8 ЗДДС"
1608,14,1,300,301,Общо
1608,15,1,301,301,Плащане по документ (от клиент)
1608,16,1,302,301,Продажба на валута
1608,17,1,330,302,Общо
1608,18,1,331,302,Плащане по документ (към доставчик)
1608,19,1,332,302,Покупка на валута
1608,20,1,333,302,Превод от каса към банка
