__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,MEASURES_ID,NAME_BG,SHORTNAME_BG,NAME_INT,SHORTNAME_INT,COEFFICIENT,ISBASE,ISUSERDEF
1610,0,1,100,1,Броя,бр.,Pieces,pcs,1.0,1,0
1610,1,1,101,1,Дузина,дз.,Dozen,dz,12.0,0,0
1610,2,1,200,2,Милиграм,мг.,Milligramme,mg,1e-06,0,0
1610,3,1,201,2,Грам,г.,Gramme,g,0.001,0,0
1610,4,1,202,2,Килограм,кг.,Kilogramme,kg,1.0,1,0
1610,5,1,203,2,Тон,т.,Tone,t,1000.0,0,0
1610,6,1,300,3,Кубичен милиметър,куб.мм.,Cubic millimetre,cu.mm,0.001,0,0
1610,7,1,301,3,Кубичен сантиметър,куб.см.,Cubic centimetre,cu.cm,0.01,0,0
1610,8,1,302,3,Кубичен дециметър,куб.дм.,Cubic decimetre,cu.dm,0.1,0,0
1610,9,1,303,3,Кубичен метър,куб.м.,Cubic metre,cu.m,1.0,1,0
1610,10,1,400,4,Милилитър,мл.,Millilitre,ml,0.001,0,0
1610,11,1,401,4,Сантилитър,сл.,Centilitre,cl,0.01,0,0
1610,12,1,402,4,Децилитър,дл.,Decilitre,dl,0.1,0,0
1610,13,1,403,4,Литър,л.,Litre,l,1.0,1,0
1610,14,1,500,5,Милиметър,мм.,Millimetre,mm,0.001,0,0
1610,15,1,501,5,Сантиметър,см.,Centimetre,cm,0.01,0,0
1610,16,1,502,5,Дециметър,дм.,Decimetre,dm,0.1,0,0
1610,17,1,503,5,Метър,м.,Metre,m,1.0,1,0
1610,18,1,504,5,Километър,км.,Kilometre,km,1000.0,0,0
1610,19,1,600,6,Квадратен милиметър,кв.мм.,Square millimetre,sq.mm,1e-06,0,0
1610,20,1,601,6,Квадратен сантиметър,кв.см.,Square centimetre,sq.cm,0.0001,0,0
1610,21,1,602,6,Квадратен дециметър,кв.дм.,Square decimetre,sq.dm,0.01,0,0
1610,22,1,603,6,Квадратен метър,кв.м.,Square metre,sq.m,1.0,1,0
1610,23,1,604,6,Ар,а.,Are,a,100.0,0,0
1610,24,1,605,6,Декар,да.,Decare,da,1000.0,0,0
1610,25,1,606,6,Хектар,ха.,Hectare,ha,10000.0,0,0
1610,26,1,700,7,Нов български лев,BGN,,,,0,0
1610,27,1,701,7,Евро,EUR,,,,0,0
1610,28,1,702,7,Щатски долар,USD,,,,0,0
1610,29,1,703,7,Британска лира,GBP,,,,0,0
1610,30,1,704,7,Швейцарски франк,CHF,,,,0,0
1610,31,1,705,7,Турска лира,TRL,,,,0,0
1610,32,1,800,8,Секунда,сек.,Second,sec,1.0,1,0
1610,33,1,801,8,Минута,мин.,Minute,min,60.0,0,0
1610,34,1,802,8,Час,ч.,Hour,h,3600.0,0,0
