__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,ACCNUMBER,ACCNUMBERSTR,ACCNAME,ISACTIVE,ISPASIVE,ISTRANSIT,ISGROUP,ENABLED
1611,0,1,1,10,10,Капитал,0,0,0,1,1
1611,1,1,2,101,101,Основен капитал изискващ регистрация,0,1,0,0,1
1611,2,1,3,102,102,Основен капитал не изискващ регистрация,0,1,0,0,1
1611,3,1,7,107,107,Сметка на собственика,0,1,0,0,1
1611,4,1,8,108,108,Премии свързани с капитал,0,1,0,0,1
1611,5,1,9,109,109,Отбиви свързани с капитал,0,1,0,0,1
1611,6,1,50,11,11,Резерви,0,0,0,1,1
1611,7,1,51,111,111,Общи резерви,0,1,0,0,1
1611,8,1,52,112,112,Резерви от последваща оценка на ДА,0,1,0,0,1
1611,9,1,53,113,113,Резерви от последваща оценка на КА,0,1,0,0,1
1611,10,1,54,115,115,Резерви от последваща оценка на финансово инаструменти,0,1,0,0,1
1611,11,1,55,116,116,Резерви от емисия на акции,0,1,0,0,1
1611,12,1,56,117,117,Други резерви,0,1,0,0,1
1611,13,1,100,12,12,Финансови резултати,0,0,0,1,1
1611,14,1,101,121,121,Непокрита загуба от минали години,1,0,0,0,1
1611,15,1,102,122,122,Неразпределена печалба от минали години,0,1,0,0,1
1611,16,1,103,123,123,Печалби и загуби от текущата година,1,1,0,0,1
1611,17,1,250,15,15,Получени заеми,0,0,0,1,1
1611,18,1,251,151,151,Получени краткосрочни заеми,0,1,0,0,1
1611,19,1,252,152,152,Получени дългосрочни заеми,0,1,0,0,1
1611,20,1,253,153,153,Дългови инструменти,0,1,0,0,1
1611,21,1,254,159,159,Други заеми и дългове,0,1,0,0,1
1611,22,1,450,19,19,Привлечени средства от участници в осигурителни фондове и заделени застрахователни резерви,0,0,0,1,1
1611,23,1,451,191,191,"Премии, произтичащи от финансови инструменти",0,1,0,0,1
1611,24,1,452,192,192,Сконто от финансови инструменти,0,1,0,0,1
1611,25,1,500,20,20,Дълготрайни материални активи,0,0,0,1,1
1611,26,1,501,201,201,Земи  гори и трайни насаждения,1,0,0,0,1
1611,27,1,502,202,202,Подобрения върху земите,1,0,0,0,1
1611,28,1,503,203,203,Сгради и конструкции,1,0,0,0,1
1611,29,1,504,204,204,Машини и оборудване,1,0,0,0,1
1611,30,1,505,205,205,Транспортни средства,1,0,0,0,1
1611,31,1,506,206,206,Офис обзавеждане,1,0,0,0,1
1611,32,1,507,207,207,Съоръжения,1,0,0,0,1
1611,33,1,508,208,208,Компютърна техника,1,0,0,0,1
1611,34,1,509,209,209,Други дълготрайни материални активи,1,0,0,0,1
1611,35,1,550,21,21,Дълготрайни нематериални активи,0,0,0,1,1
1611,36,1,552,212,212,Продукти от развойна дейност,1,0,0,0,1
1611,37,1,553,213,213,Права върху интелектуална собственост,1,0,0,0,1
1611,38,1,554,214,214,Програмни продукти,1,0,0,0,1
1611,39,1,555,215,215,Права върху индустриална собственост,1,0,0,0,1
1611,40,1,556,219,219,Други дълготрайни нематериални активи,1,0,0,0,1
1612,0,1,600,22,22,Дългосрочни инвестиции и вземания,0,0,0,1,1
