__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,DT_DOC,DT_CHANGED,SMETKA,OWNER,SIGN_BY,NOTE,IS_OPEN,BY_MODUL,BY_SMETKA,BY_SMTYPE,IS_REALIZED
7122,0,1,46260519,1319144474,1319144474,0000000001,Yordan Markov,,,N,Ценообразуване,0000000054,30,Y
7122,1,1,49697367,1319144474,1319156797,0000000002,Yordan Markov,,,N,Синхронизиране на цени по всички складове,,-1,Y
7122,2,1,35733560,1319144512,1319144512,0000000003,Yordan Markov,,,N,Ценообразуване,0000000055,30,Y
7122,3,1,36748834,1319144876,1319144876,0000000005,Yordan Markov,,,N,Ценообразуване,0000000052,30,Y
7122,4,1,33899184,1319153477,1319153748,0000000008,Yordan Markov,,,N,Складове и Стоки,,-1,Y
7122,5,1,42313023,1319153483,1319153750,0000000009,Yordan Markov,,,N,Складови наличности по стоки,,-1,Y
7122,6,1,34181480,1319232613,1319232613,0000000020,Yordan Markov,,,N,Ценообразуване,0000000003,30,Y
7122,7,1,41727788,1319232613,1319252342,0000000021,Yordan Markov,,,N,Синхронизиране на цени по всички складове,,-1,Y
7122,8,1,48130677,1319236788,1319245134,0000000022,Yordan Markov,,,N,Складове и Стоки,,-1,Y
7122,9,1,39991046,1319245281,1319245281,0000000036,Yordan Markov,,,N,Ценообразуване,0000000247,3,Y
7122,10,1,41429782,1319252341,1319252342,0000000041,Yordan Markov,,,N,Ценообразуване,0000000248,3,Y
7122,11,1,42210088,1319535335,1319535335,0000000047,Yordan Markov,,,N,Ценообразуване,0000000076,30,Y
7122,12,1,40967145,1319535335,1319535445,0000000048,Yordan Markov,,,N,Синхронизиране на цени по всички складове,,-1,Y
7122,13,1,39292109,1319535395,1319535395,0000000049,Yordan Markov,,,N,Ценообразуване,0000000074,30,Y
7122,14,1,40048819,1319535445,1319535445,0000000051,Yordan Markov,,,N,Ценообразуване,0000000071,30,Y
7122,15,1,40897431,1319549704,1319549704,0000000056,Yordan Markov,,,N,Складове и Стоки,,-1,Y
7122,16,1,45965717,1319631926,1319662833,0000000057,Yordan Markov,,,N,Складове и Стоки,,-1,Y
7122,17,1,44741351,1319631926,1319639456,0000000058,Yordan Markov,,,N,Синхронизиране на цени по всички складове,,-1,Y
7122,18,1,46518908,1319636206,1319636207,0000000068,Yordan Markov,,,N,Ценообразуване,0000000249,3,Y
7122,19,1,43313971,1319639456,1319639456,0000000090,Yordan Markov,,,N,Ценообразуване,0000000119,6,Y
7122,20,1,36319282,1319739171,1319740664,0000000095,Yordan Markov,,,N,Складове и Стоки,,-1,Y
7122,21,1,42071071,1319739173,1319740667,0000000096,Yordan Markov,,,N,Складови наличности по стоки,,-1,Y
7122,22,1,46729052,1319740875,1319740875,0000000108,Yordan Markov,,,N,Ценообразуване,0000000252,3,Y
7122,23,1,40303766,1319740875,1319740875,0000000109,Yordan Markov,,,N,Синхронизиране на цени по всички складове,,-1,Y
7122,24,1,39824781,1319857362,1319857755,0000000110,Yordan Markov,,,N,Складове и Стоки,,-1,Y
7122,25,1,37113113,1319944663,1319944663,0000000113,Yordan Markov,,,N,Ценообразуване,0000000254,3,Y
7122,26,1,43540153,1319944663,1319958749,0000000114,Yordan Markov,,,N,Синхронизиране на цени по всички складове,,-1,Y
7122,27,1,41287446,1319945108,1319959165,0000000117,Yordan Markov,,,N,Складове и Стоки,,-1,Y
