__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CHANGED,GRUPA,PARENT_GR,CODE,BARCODE,VALUTA_KUP,VALUTA_PROD_ED,VALUTA_PROD_DR,RAZFAS1,RAZFAS2,RELATOR,CENA_KUP,CENA_PROD_ED1,CENA_PROD_DR1,DDS_DEF,PROPS,NOTE,IS_SER_NO,MIN_KOLICH,MAX_KOLICH,DOSTAW,INTRASTAT,COUNTRY,TEGLO,TREND,IS_ACTIVE,ACC_TIP,EEO_NO,EEO_TEGLO,IS_ACTIVE_WEB,IS_ACTIVE_PARENT,IS_ACTIVE_WEB_PARENT,GROUP_ID,FOLLOW_NUM,ID_PROPS_GRP_G,IS_RESTRICT
1660,1,1,1333638036,Ташев Галвинг,1. Фирми,,,M,M,M,,,,,,,0.0,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,2,1,1333638618,Schubert - Salzer,1. Фирми,,,M,M,M,,,,,,,0.0,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,3,1,1309757452,Шрак техник ЕООД,1. Фирми,,,L,L,L,,,,,,,,,,P,,,ШРАК ТЕХНИК ЕООД,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,4,1,,свързващи кабели с конектор,Материали,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,5,1,,електромагнитно реле,Материали,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,6,1,1333638823,Тапфло,1. Фирми,,,M,M,M,,,,,,,0.0,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,7,1,,магнетвентил,Материали,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,8,1,,Цех,Материали,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,9,1,,951038,Материали,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,10,1,1307953017,Унител,1. Фирми,,,L,L,L,,,,,,,0.0,,,P,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,11,1,,фитинги за заварки,Материали,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,12,1,1310044804,М16,4. Крепежи,,,L,L,L,,,,,,,,,,N,,,ИТТ БЪЛГАРИЯ ЕООД,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,13,1,1310044804,М12,4. Крепежи,,,L,L,L,,,,,,,,,,N,,,ИТТ БЪЛГАРИЯ ЕООД,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,14,1,1318156969,М6,4. Крепежи,,,L,L,L,,,,,,,,,,P,100.0,,ИТТ БЪЛГАРИЯ ЕООД,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,15,1,1310044804,М10,4. Крепежи,,,L,L,L,,,,,,,,,,N,,,ИТТ БЪЛГАРИЯ ЕООД,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,16,1,1319563783,М8,4. Крепежи,,,L,L,L,,,,,,,,,,N,,,ИТТ БЪЛГАРИЯ ЕООД,А16/2,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,17,1,1310044804,М5,4. Крепежи,,,L,L,L,,,,,,,,,,N,,,ИТТ БЪЛГАРИЯ ЕООД,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,18,1,1300160729,Материали,1. Фирми,,,L,L,L,,,,,,,0.0,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,19,1,,Машини,3. Инструменти,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,20,1,,Производствен цех - инструменти,3. Инструменти,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,21,1,,Хале  - инструменти,3. Инструменти,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,22,1,,Фрезовъчен цех,3. Инструменти,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,23,1,,Металхидрид,3. Инструменти,,,L,L,L,,,,,,,,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,24,1,1301063444,3. Инструменти,Неактивни,,,L,L,L,,,,,,,0.0,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,25,1,0,кабелни магистрали,Материали,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,26,1,1333638849,Айса консулт,1. Фирми,,,M,M,M,,,,,,,0.0,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
1660,27,1,1310436551,Тръби,Крисметал,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,P,0.0,0.0,КРИСМЕТАЛ,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,28,1,0,2.6. Арматури,2. Тръбни връзки,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,29,1,1310436560,Фитинги на резба,Крисметал,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,P,0.0,0.0,КРИСМЕТАЛ,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,31,1,0,Крепежи машина,500,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,34,1,1309757452,Кабели и накрайници,Шрак техник ЕООД,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,ШРАК ТЕХНИК ЕООД,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,36,1,1307952745,9. Други,,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,P,0.0,0.0,ADEV S.R.L.,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,37,1,0,4. Услуги,Неактивни,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,38,1,0,Каталитична колона,500,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,39,1,0,Изсушител,500,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
1660,40,1,0,Табло - Газ анализатор,0. Разни,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
5304,1,1,1310436543,Заваръчни връзки,Крисметал,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,P,0.0,0.0,КРИСМЕТАЛ,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
5304,2,1,0,Фланцови връзки,Крисметал,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
5304,3,1,0,Кранове,Genebre,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
5304,4,1,1333638885,Green Power,1. Фирми,,,M,M,M,,,,,,,0.0,,,N,,,,,,,1.5,Y,0,,0.0,Y,Y,Y,,0.0,,0
5304,5,1,1316259716,Кабелни канали,Нидакс,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,N,0.0,0.0,НИДАКС БЪЛГАРИЯ  ЕООД,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
5304,6,1,1307952980,Аквафор,1. Фирми,,,L,L,L,,,0.0,0.0,0.0,0.0,0.0,,,P,0.0,0.0,,,,0.0,1.5,Y,0,,0.0,Y,Y,Y,0,0.0,,0
