__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,LV_ZA_USD,LV_ZA_DM,DM_ZA_USD,LV_ZA_1,LV_ZA_2,LV_ZA_3,LV_ZA_4,LV_ZA_5
1657,0,1,2025-08-06 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,1,1,2025-08-07 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,2,1,2025-08-08 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,3,1,2025-08-11 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,4,1,2025-08-12 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,5,1,2025-08-13 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,6,1,2025-08-14 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,7,1,2025-08-15 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,8,1,2025-08-18 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,9,1,2025-08-19 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,10,1,2025-08-20 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,11,1,2025-08-21 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,12,1,2025-08-22 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,13,1,2025-08-25 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,14,1,2025-08-26 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,15,1,2025-08-27 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,16,1,2025-08-28 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,17,1,2025-08-29 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,18,1,2025-09-01 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,19,1,2025-09-02 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,20,1,2025-09-03 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,21,1,2025-09-04 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,22,1,2025-09-05 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,23,1,2025-09-09 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,24,1,2025-09-10 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,25,1,2025-09-11 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,26,1,2025-09-12 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,27,1,2025-09-23 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,28,1,2025-09-24 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,29,1,2025-09-25 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,30,1,2025-09-26 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,31,1,2025-09-29 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,32,1,2025-09-30 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,33,1,2025-10-01 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,34,1,2025-10-02 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,35,1,2025-10-03 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,36,1,2025-10-06 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,37,1,2025-10-07 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,38,1,2025-10-08 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,39,1,2025-10-09 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,40,1,2025-10-10 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,41,1,2025-10-13 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
1657,42,1,2025-10-14 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,0,1,2025-10-15 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,1,1,2025-10-16 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,2,1,2025-10-20 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,3,1,2025-10-21 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,4,1,2025-10-22 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,5,1,2025-10-23 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,6,1,2025-10-24 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,7,1,2025-10-27 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,8,1,2025-10-28 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,9,1,2025-10-29 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,10,1,2025-10-30 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,11,1,2025-10-31 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,12,1,2025-11-03 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,13,1,2025-11-04 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,14,1,2025-11-05 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,15,1,2025-11-06 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,16,1,2025-11-07 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,17,1,2025-11-10 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,18,1,2025-11-11 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,19,1,2025-11-12 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,20,1,2025-11-13 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,21,1,2025-11-17 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,22,1,2025-11-18 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,23,1,2025-11-19 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,24,1,2025-11-20 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,25,1,2025-11-21 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,26,1,2025-11-24 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,27,1,2025-11-25 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,28,1,2025-11-26 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,29,1,2025-11-27 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,30,1,2025-11-28 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,31,1,2025-12-01 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,32,1,2025-12-02 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,33,1,2025-12-03 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,34,1,2025-12-04 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,35,1,2025-12-05 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,36,1,2025-12-08 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,37,1,2025-12-09 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,38,1,2025-12-10 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,39,1,2025-12-11 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,40,1,2025-12-12 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,41,1,2025-12-15 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
5789,42,1,2025-12-16 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,0,1,2025-12-17 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,1,1,2025-12-18 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,2,1,2025-12-19 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,3,1,2025-12-22 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,4,1,2025-12-23 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,5,1,2026-01-05 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,6,1,2026-01-06 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,7,1,2026-01-07 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,8,1,2026-01-12 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,9,1,2026-01-13 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,10,1,2026-01-14 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,11,1,2026-01-15 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,12,1,2026-01-16 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,13,1,2026-01-22 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,14,1,2026-01-23 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,15,1,2026-01-26 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,16,1,2026-01-27 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,17,1,2026-01-28 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,18,1,2026-01-29 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,19,1,2026-01-30 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,20,1,2026-02-02 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,21,1,2026-02-03 00:00:00.000,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0
6149,22,1,2026-02-04 00:00:00.000,0.84,1.0,0.84,1.0,1.0,1.0,1.0,1.0
6149,23,1,2026-02-05 00:00:00.000,0.84,1.0,0.84,1.0,1.0,1.0,1.0,1.0
6149,24,1,2026-02-06 00:00:00.000,0.84,1.0,0.84,1.0,1.0,1.0,1.0,1.0
