__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,OFFICE_ID,SKLAD,GRUPA,STOKA,SER_NO,OLD_VALUTA,OLD_CENA,NEW_VALUTA,NEW_CENA,OLD_VALUE,NEW_VALUE
5365,0,1,256,2,,316,Муфа 316L резбa 150LBS L10 1/2``,,,,,,,Стругарно
5365,1,1,257,2,,316,Холендър 316L вътрешнa резбa 150LBS 1/2``,,,,,,101324,101364
5365,2,1,259,2,,316,Преход 3/4-1/4,,,,,,,102108
5365,3,1,278,2,,Фитинги на резба,Щуцер маркуч (AISI 304 шестостен S22),,,,,,-,Стругарно
5365,4,1,307,2,,Заваръчни връзки,Капа 304L заварка (323.9x3) 12``,,,,,,103253,103217
5365,5,1,335,2,,304L,Муфа 304L резбa 150LBS L42 1``,,,,,,101806,101706
5365,6,1,457,2,,Фитинги 316,"холендер PTFE ж/ж, BSP 959496 1`",,,,,,959496,9594941
5365,7,1,595,2,,Други,"Тефлонова лента, 13м 3/4`",,,,,,-,12517
5365,8,1,597,2,,Други,"Тефлонова лента, 7м. 1/2`",,,,,,,12515
5365,9,1,641,2,,Кранове,Valve 3PC full bore ball (welded ends) 1````,,,,,,-,5628 06 51
5365,10,1,694,2,,Тръби,"Тръба (323,9х3) 12``",,,,,,,074604
5365,11,1,713,2,,фитинги за заварки,тройник 106606 33.7х2,,,,,,106606,106506
5365,12,1,716,2,,фитинги за заварки,"тройник 304, заварка, 48.3х2, 1 1/2`",,,,,,106608,106508
5365,13,1,718,2,,Заваръчни връзки,"Тройник 304L заварка (60,3х2) 2``",,,,,,,106512
5365,14,1,721,2,,Заваръчни връзки,"Коляно 90o 304L заварка (60,3x2) 2``",,,,,,,106312
5365,15,1,777,2,,Тръби,Тръба шевна 304L (33.7x2) 1``,,,,,,071326,071323
5365,16,1,778,2,,М16,"гайка шестостенна 10, цинк 00934 1001 16 М16",,,,,,00934 1001 16,00934 1000 16
5365,17,1,825,2,,Schrack,"Реле с 14 пина, 6А",,,,,,PT570730--,PT570730
5365,18,1,1169,2,,Schrack,Кабелен канал 40x40mm,,,,,,RH229206--,RH229206
5365,19,1,1188,2,,Сити склад,20`` Контейнер HPCU2248917,,,,,,-,1535
5365,20,1,1380,2,,Burkert,"Иглен клапан, 0-6bar, G 1/2`",,,,,,20020467,00276107
5365,21,1,1928,2,,Кабелни канали,"Кабелна скара, перф.,с интегр. съед. 60х200х3000",,,,,,RLVC 60.20010.96,RLVC 60.200
5365,22,1,1993,2,,М16,"гайка шестостенна , цинк М16",,,,,,00934 1000 16,00934 8000 16
5365,23,1,2064,2,,Тръби,Тръба шевна 304L (33.7х3) 1“,,,,,,72802,071329
5365,24,1,2081,2,,Комет електроникс,Интегрални схеми 3,,,,,,MCP3002-I/sn,MCP3002-I/SN
5365,25,1,2087,2,,Ивда Гео,Коляно 90° ф32,,,,,,,-
5365,26,1,2089,2,,Ивда Гео,Муфа ПП ф32,,,,,,,-
5365,27,1,2120,2,,Schrack,"Пр. клема 2,5мм, сива, двуредна, YBK 2,5-2F",,,,,,"YBK 2,5-2F",IK660002
5365,28,1,2122,2,,Schrack,"Пр. клема триредна, 2,5мм, YBK 2,5-3F",,,,,,"YBK 2,5-3F",IK690001
5365,29,1,2171,2,,Кабели и накрайници,"Проводник 500V 0,5mm черен",,,,,,,XC01040101
5365,30,1,2373,2,,Хард Тех,Платка GI1UZDV8,,,,,,,HT45699
5365,31,1,2374,2,,Хард Тех,Платка GI1UZDV8,,,,,,HT45699,HT45698
5365,32,1,2376,2,,Хард Тех,Платка GI1LZDV8,,,,,,,HT45699
5452,0,1,2427,2,,Метални елементи,Ламарина S235 ГВ 1000х1000х1,,,,,,,-
5452,1,1,2533,2,,Редко,Кабел 1х50mm,,,,,,,V981920K01500
5452,2,1,2600,2,,Тилком,Кабел 70кв. черен HO7V-K,,,,,,,05.01.02.00099
5452,3,1,2642,2,,,Аква филтър,,,,,,ФЦПНН50М,FCPNN50M
5452,4,1,2645,2,,,Пълнеж за бутилка,,,,,,-,1000119
5452,5,1,2646,2,,,Табло Металхидрид,,,,,,-,1000120
5452,6,1,2647,2,,304L,"Щуцер за маркуч 304, 1/4",,,,,,Стругарно,1000121
5452,7,1,2648,2,,304L,"Щуцер маркуч 304, 1/2",,,,,,Стругарно,1000122
5452,8,1,2666,2,,Унител,захранване за DIN шина SDR-120-24 24V/5A,,,,,,SDR-120-24,2080
5452,9,1,2679,2,,Демистрър,Тяло на демистър,,,,,,-,1000010
5452,10,1,2680,2,,Демистрър,Дъно на демистър,,,,,,,1000013
5452,11,1,2681,2,,Демистрър,Готов демистър,,,,,,,1000009
5452,12,1,2682,2,,Демистрър,Кръст за демистър,,,,,,,1000014
