__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,OFFICE_ID,OLD_SKLAD,OLD_GRUPA,OLD_STOKA,OLD_VALUE,NEW_SKLAD,NEW_GRUPA,NEW_STOKA,NEW_VALUE
1665,0,1,1,0,,Фитинги 316, Фитинги 316,,,,,
1665,1,1,2,0,,Цех, Цех,,,,,
1665,2,1,3,0,,електромагнитно реле, електромагнитно реле,,,,,
1665,3,1,4,0,,кабелни магистрали, кабелни магистрали,,,,,
1665,4,1,5,0,,магнетвентил, магнетвентил,,,,,
1665,5,1,6,0,,свързващи кабели с конектор, свързващи кабели с конектор,,,,,
1665,6,1,7,0,,фитинги за заварки, фитинги за заварки,,,,,
1665,7,1,8,0,,Camozzi, Camozzi,,,,,
1665,8,1,9,0,,Schrack, Schrack,,,,,
1665,9,1,10,0,,М10, М10,,,,,
1665,10,1,11,0,,М12, М12,,,,,
1665,11,1,12,0,,М16, М16,,,,,
1665,12,1,13,0,,М5, М5,,,,,
1665,13,1,14,0,,М6, М6,,,,,
1665,14,1,15,0,,М8, М8,,,,,
1665,15,1,16,0,,Разни консумативи, Разни консумативи,,,,,
1665,16,1,17,0,,Фитинги 304, Фитинги 304,,,,,
1665,17,1,18,0,,,,,,Материали,,
1665,18,1,19,0,,фитинги за заварки,,,,Материали,,
1665,19,1,20,0,,свързващи кабели с конектор,,,,Материали,,
1665,20,1,21,0,,магнетвентил,,,,Материали,,
1665,21,1,22,0,,кабелни магистрали,,,,Материали,,
1665,22,1,23,0,,електромагнитно реле,,,,Материали,,
1665,23,1,24,0,,Цех,,,,Материали,,
1665,24,1,25,0,,Фитинги 316,,,,Материали,,
1665,25,1,26,0,,Фитинги 304,,,,Материали,,
1665,26,1,27,0,,Разни консумативи,,,,Материали,,
1665,27,1,28,0,,М8,,,,Материали,,
1665,28,1,29,0,,М6,,,,Материали,,
1665,29,1,30,0,,М5,,,,Материали,,
1665,30,1,31,0,,М16,,,,Материали,,
1665,31,1,32,0,,М12,,,,Материали,,
1665,32,1,33,0,,М10,,,,Материали,,
1665,33,1,34,0,,Schrack,,,,Материали,,
1665,34,1,35,0,,Camozzi,,,,Материали,,
1665,35,1,36,0,,951038,,,,Материали,,
1665,36,1,37,0,,Машини,,,,,,
1665,37,1,77,0,,,,,,Машини,Мултицет V&A VA19,
1665,38,1,79,0,,,,,,Машини,Мултицет CAT JTW838,
1665,39,1,82,0,,,,,,Производствен цех - инструменти,Макетен нож други,
1665,40,1,84,0,,,,,,Производствен цех - инструменти,Отвертки други права,
1665,41,1,86,0,,,,,,Производствен цех - инструменти,Отвертки други кръстата,
1665,42,1,88,0,,,,,,Производствен цех - инструменти,Отвертки други кръстата червена,
1665,43,1,90,0,,,,,,Продукция,,
1665,44,1,91,0,,,,,,Продукция,AEM-Z-500kW,
1665,45,1,94,0,,,,,,,,dfd
1665,46,1,97,0,,,,,,,,fddff
1665,47,1,99,0,,,,,,,,Наш
1665,48,1,103,0,,,,,,Метални елементи,,
1665,49,1,104,0,,,,fddff,,,,Крисметал
1665,50,1,113,0,,,,Наш,,,,Склад
5252,0,1,120,0,Цех,,,,Склад производство,,,
5252,1,1,133,0,,,,,,магнетвентил,Safety valve DE seguridad 2``G x 2``G,
5252,2,1,135,0,,,,,,,,Genebre
5252,3,1,137,0,,кабелни магистрали,"гайка самоосигурителна 10, цинк 00985 1001 16 М1",,,М10,"гайка самоосигурителна 10, цинк 00985 1001 16 М1",
