__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID,OFFICE_ID,SMTYPE,DATETIME,NUM,DT_DOC,SMETKA,SKLAD,GRUPA,STOKA,SER_NO,RAZHOD,OLD_VALUE,OLD_TEXT,NEW_VALUE,NEW_TEXT,FIRMA
5258,0,1,108,0,3,6878510,5,1300260009,0000000001,Склад,Фитинги 316,коляно 90гр. вътр./вън. резба 101504 1/2`,,,0.0,,0.0,,
5258,1,1,115,0,6,10412533,2,1300248184,0000000001,Склад,Camozzi,права връзка 1511 8/6х1/8,,,0.0,,0.0,,
5258,2,1,116,0,6,10412533,1,1300248184,0000000001,Склад,Camozzi,права връзка 1511 8/6х1/4,,,0.0,,0.0,,
5258,3,1,118,0,6,11810467,1,1300261240,0000000002,Склад,М12,А2 болт 00933 9200 12 50 М12х50,,,0.0,,0.0,,
5258,4,1,122,0,6,2024181,2,1300333203,0000000002,Склад,Фитинги 304,тапа шестостенна 101004 1/2`,07082025,,0.0,,0.0,,
5258,5,1,124,0,6,2024181,1,1300333203,0000000002,Склад,свързващи кабели с конектор,"PUR кабел, М12 конектор EVC004 2 м.",,,0.0,,0.0,,
5258,6,1,125,0,6,2024181,3,1300333203,0000000002,Склад,свързващи кабели с конектор,"PUR кабел, М12 конектор EVC006 10 м.",,,0.0,,0.0,,
5258,7,1,127,0,6,2024181,2,1300333203,0000000002,Склад,Фитинги 304,тапа шестостенна 101004 1/2`,07082025,,5.0,бр.,15.0,бр.,
5258,8,1,129,0,6,2024181,4,1300333203,0000000002,Склад,Фитинги 316,коляно 90гр. вътр./вън. резба 101504 1/2`,07082025,,0.0,,0.0,,
5258,9,1,130,0,6,2024181,5,1300333203,0000000002,Склад,Фитинги 316,тройник вътр. резба 102304 1/2`,07082025,,0.0,,0.0,,
5258,10,1,131,0,6,2024181,6,1300333203,0000000002,Склад,Фитинги 304,нипел шестостен 100644 1/2`,,,0.0,,0.0,,
5258,11,1,172,0,6,5699944,2,1300838112,0000000004,Склад,Schrack,контактор LTD12523 11KW,,,0.0,,0.0,,
5258,12,1,173,0,6,5699944,2,1300838112,0000000004,Склад,Schrack,контактор LTD12523 11KW,,,2.0,бр.,3.0,бр.,
5258,13,1,284,2,6,49295105,14,1301045186,0000000005,Склад,304L,Муфа 304L резбa 150LBS L42 1``,56198161,,2.0,бр.,4.0,бр.,
5258,14,1,285,2,6,49295105,18,1301045186,0000000005,Склад,304L,Тапа 304L 150LBS 1/2``,16584381,,2.0,бр.,5.0,бр.,
5258,15,1,286,2,6,49295105,19,1301045186,0000000005,Склад,Фитинги 316,муфа вътр. резба 101802 1/4`,,,0.0,,0.0,,
5258,16,1,288,2,6,49295105,20,1301045186,0000000005,Склад,304L,Муфа 304L резбa 150LBS L42 1``,56198161,,0.0,,0.0,,
5258,17,1,289,2,6,49295105,14,1301045186,0000000005,Склад,304L,Муфа 304L резбa 150LBS L42 1``,56198161,,4.0,бр.,6.0,бр.,
5258,18,1,290,2,6,49295105,20,1301045186,0000000005,Склад,304L,Муфа 304L резбa 150LBS L42 1``,56198161,,0.0,,0.0,,
5258,19,1,313,2,6,45100278,4,1301333838,0000000006,Склад,Фитинги 316,нипел намалител 106105 1/2х1/4,,,0.0,,0.0,,
5258,20,1,332,2,3,44607876,6,1301442025,0000000008,Склад,Заваръчни връзки,"Капа нер.ст. 304L, 168.3х2",,,0.0,,0.0,,
5258,21,1,340,2,6,36157225,3,1301443470,0000000007,Склад,магнетвентил,датчици за налягане 1877 0-15 bar,,,0.0,,0.0,,
