__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID_FIELD,ID_EVENT,ORD,TIP,NAME,IS_VIP,IS_NUL,IS_ARR,IS_INT,IS_POS,IS_GRAY,IS_CUR_DATE,IS_SET_DATE,IS_TIME,RECUR_TIP,RECUR_WEEK,IS_ALARM,ALARM_BEFORE,BEFORE_TIP,LINK_TIP,FIRMA_TIP,DEF_VAL,IS_MOBILECAL,IS_EMAIL
1628,0,1,11,1,2,m,Задача,Y,Y,N,N,N,N,N,N,N,_,0000000,N,0,m,M,,,Y,N
1628,1,1,12,1,3,d,До кога,Y,Y,N,N,N,N,N,N,Y,_,0000000,Y,0,m,M,,"SetDate=1, SetTime=1",Y,N
1628,2,1,13,1,4,O,Изпълнител(и),N,N,Y,N,N,N,N,N,N,_,0000000,N,0,m,M,U,CurUser=1,Y,N
1628,3,1,21,2,1,F,С кого,Y,Y,N,N,N,N,N,N,N,_,0000000,N,0,m,M,KDSAPUF,,Y,N
1628,4,1,22,2,2,d,Кога,Y,Y,N,N,N,N,N,N,Y,_,0000000,Y,0,m,M,,"SetDate=1, SetTime=1",Y,N
1628,5,1,23,2,3,m,За какво,N,N,N,N,N,N,N,N,N,_,0000000,N,0,m,M,,,Y,N
1628,6,1,24,2,4,O,Изпълнител(и),N,N,Y,N,N,N,N,N,N,_,0000000,N,0,m,M,U,CurUser=1,Y,N
1628,7,1,31,3,1,F,С кого,Y,Y,N,N,N,N,N,N,N,_,0000000,N,0,m,M,KDSAPUF,,Y,N
1628,8,1,32,3,2,d,Кога,Y,Y,N,N,N,N,N,N,Y,_,0000000,Y,1,h,M,,"SetDate=1, SetTime=1",Y,N
1628,9,1,33,3,3,t,Къде,N,N,N,N,N,N,N,N,N,_,0000000,N,0,m,M,,,Y,N
1628,10,1,34,3,4,m,За какво,N,N,N,N,N,N,N,N,N,_,0000000,N,0,m,M,,,Y,N
1628,11,1,35,3,5,O,Изпълнител(и),N,N,Y,N,N,N,N,N,N,_,0000000,N,0,m,M,U,CurUser=1,Y,N
