__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CREATED,DT_CHANGED,DT_STP,DT_PLANS,DT_DOC,DT_MADE,DT_TECH,DURATION,SMETKA,FIRMA,F_CONTACT,STP_TIP,RAZPAD,SKLAD,GRUPA,STOKA,CENA_TIP,VALUTA,NOTE,OWNER,SIGN_BY,KASA,PR_GRUPA,PROPS,IS_OPEN,LV_ZA_USD,LV_ZA_DM,DM_ZA_USD,LV_ZA_1,LV_ZA_2,LV_ZA_3,LV_ZA_4,LV_ZA_5,VAR_101,ROW_101,PLN_101,WRK_101,PRD_101,BRK_101,KOLICH_PLN,KOLICH_PLN2,KOLICH_WRK,KOLICH_WRK2,KOLICH_PRD,KOLICH_PRD2,KOLICH_BRK,KOLICH_BRK2,PROD_EX
5245,6,1,45773546,1308355960,-1,0,1308355692,1308355692,45613224,0,0000000010,Металхидрид,,TP,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Дъно за бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,
5245,9,1,38387853,1307739435,-1,0,1307738898,1307738898,39161073,0,0000000006,За производство,,TP,1,Склад,Фитинги - Щуцер на резба,Щуцер за маркуч 304 1/2“,1,L,,ADMIN,,Z,,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,
5837,6,1,42586075,1307745158,-1,0,1307744939,1307744939,39161073,0,0000000007,За производство,,TP,1,Склад,Фитинги - Щуцер на резба,Щуцер за маркуч 304 1/2“,1,L,,ADMIN,,Z,,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,
5837,7,1,42586075,1307745158,41749393,0,1307745001,1307745001,39161073,0,0000000007,За производство,,PW,1,Склад,Фитинги - Щуцер на резба,Щуцер за маркуч 304 1/2“,1,L,,ADMIN,,Z,,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,-1,-1,1,0,0,-38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,
5837,8,1,38387853,1307739435,35144420,0,1307739255,1307739255,39161073,0,0000000006,За производство,,PW,1,Склад,Фитинги - Щуцер на резба,Щуцер за маркуч 304 1/2“,1,L,,ADMIN,,Z,,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,-1,-1,1,0,0,-20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,
5837,9,1,38387853,1307739435,44420887,0,1307739405,1307739405,39161073,0,0000000006,За производство,,WR,1,Склад,Фитинги - Щуцер на резба,Щуцер за маркуч 304 1/2“,1,L,,ADMIN,,Z,,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,1,0,0,-1,1,0,0.0,0.0,-20.0,0.0,20.0,0.0,0.0,0.0,
5837,13,1,42586075,1307745158,44510007,0,1307745109,1307745109,39161073,0,0000000007,За производство,,WR,1,Склад,Фитинги - Щуцер на резба,Щуцер за маркуч 304 1/2“,1,L,,ADMIN,,Z,,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,1,0,0,-1,1,0,0.0,0.0,-38.0,0.0,38.0,0.0,0.0,0.0,
5910,1,1,38927001,1308355980,-1,0,1308355738,1308355738,44960646,0,0000000011,Металхидрид,,TP,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Тапа за бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,
5910,4,1,47025256,1308355934,-1,0,1308355754,1308355754,45739937,0,0000000012,Металхидрид,,TP,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Тяло на бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,
5910,5,1,47025256,1308355934,38264367,0,1308355809,1308355809,45739937,0,0000000012,Металхидрид,,PW,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Тяло на бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,-1,-1,1,0,0,-35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,
5910,6,1,38927001,1308355980,39452779,0,1308355828,1308355828,44960646,0,0000000011,Металхидрид,,PW,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Тапа за бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,-1,-1,1,0,0,-35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,
5910,7,1,45773546,1308355960,42798440,0,1308355842,1308355842,45613224,0,0000000010,Металхидрид,,PW,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Дъно за бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,-1,-1,1,0,0,-35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,
5910,8,1,47025256,1308355934,43690652,0,1308355879,1308355879,45739937,0,0000000012,Металхидрид,,WR,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Тяло на бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,1,0,0,-1,1,0,0.0,0.0,-35.0,0.0,35.0,0.0,0.0,0.0,
5910,9,1,45773546,1308355960,37167079,0,1308355939,1308355939,45613224,0,0000000010,Металхидрид,,WR,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Дъно за бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,1,0,0,-1,1,0,0.0,0.0,-35.0,0.0,35.0,0.0,0.0,0.0,
5910,10,1,38927001,1308355980,49328018,0,1308355962,1308355962,44960646,0,0000000011,Металхидрид,,WR,1,2. МЕТАЛХИДРИД,Вътрешни изделия и детайли,Тапа за бутилка,1,L,,ADMIN,,Z,Бутилки Металхидрид,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,1,0,0,-1,1,0,0.0,0.0,-35.0,0.0,35.0,0.0,0.0,0.0,
5910,11,1,47656930,1308356376,-1,0,1308356062,1308356062,49932569,0,0000000013,Металхидрид,,TP,1,Неактивен 2,1.3. Металхидрид,Бутилки Металхидрид - Полуготови,1,L,,ADMIN,,Z,,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,
5910,13,1,1306674750,1308732983,-2,0,1308652334,1306674750,0,0,,,,TT,1,Неактивен 2,Hard Tech,Платка PCB  GI1SCPU1,1,L,,ADMIN,,B,Електроника,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5910,14,1,47656930,1308356376,37660698,0,1308356091,1308356091,49932569,0,0000000013,Металхидрид,,PW,1,Неактивен 2,1.3. Металхидрид,Бутилки Металхидрид - Полуготови,1,L,,ADMIN,,Z,,,,2.0,1.95583,1.02258,1.0,1.0,1.0,1.0,1.0,0,-1,-1,1,0,0,-35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,
