__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CREATED,DT_VAR,DT_ROW,DT_STP,SER_NO,NUM,ED_CENA,VALUTA,KOLICH,KOLICH2
5496,1,1,38387853,1307737731,1307737916,35144420,1172012/090925,1,34.794,L,2.0,0.0
5496,2,1,38387853,1307737731,0,44420887,061125/1,1,3.4794,L,20.0,0.0
5496,3,1,38387853,1307737731,1307737916,44420887,1172012/090925,1,34.794,L,2.0,0.0
5496,4,1,42586075,1307737731,1307737916,41749393,1172012/090925,1,34.794,L,1.9,0.0
5496,5,1,42586075,1307737731,0,44510007,061125/1,1,1.7396999999999998,L,38.0,0.0
5496,6,1,42586075,1307737731,1307737916,44510007,1172012/090925,1,34.794,L,1.9,0.0
5496,7,1,47025256,1308344782,1308344841,38264367,10143626/120925,1,25.56,L,5.11,0.0
5496,8,1,38927001,1308348189,1308348266,39452779,6722/180925,1,64.2,L,0.8,0.0
5496,9,1,45773546,1308344164,1308344271,42798440,6722/180925,1,64.2,L,0.65,0.0
5496,10,1,47025256,1308344782,0,43690652,271025/body,1,3.7313868613138683,L,35.0,0.0
5496,11,1,47025256,1308344782,1308344841,43690652,10143626/120925,1,25.56,L,5.109489051094891,0.0
5496,12,1,45773546,1308344164,0,37167079,271025/bot,1,1.1888888888888889,L,35.0,0.0
5496,13,1,45773546,1308344164,1308344271,37167079,6722/180925,1,64.2,L,0.6481481481481481,0.0
5496,14,1,38927001,1308348189,0,49328018,271025/cap,1,1.4758620689655173,L,35.0,0.0
5496,15,1,38927001,1308348189,1308348266,49328018,6722/180925,1,64.2,L,0.8,0.0
5496,16,1,47656930,1308351747,1308351779,37660698,271025/cap,1,1.47586206896552,L,35.0,0.0
5496,17,1,49070797,1308348189,1308348266,48264767,6722/180925,1,32.82,M,0.23,0.0
5496,18,1,43987986,1307737731,1307737916,44040911,1172012/090925,1,17.79,M,2.11,0.0
5496,19,1,47656930,1308351747,1308351791,37660698,271025/bot,1,1.18888888888889,L,35.0,0.0
5496,20,1,47656930,1308351747,1308351801,37660698,271025/body,1,3.73138686131387,L,35.0,0.0
5496,21,1,47656930,1308351747,0,41414878,271025/ppb,1,6.396137819168279,L,35.0,0.0
5496,22,1,43987986,1307737731,0,35505348,270126/1,1,0.9363157894736841,M,40.0,0.0
5496,23,1,43987986,1307737731,1307737916,35505348,1172012/090925,1,17.79,M,2.1052631578947367,0.0
5496,24,1,39991739,1312037749,1312037816,49021392,10144231/011025/1,1,20.190842,M,8.0,0.0
5496,25,1,39991739,1312037749,0,40961008,090226/1,1,39.48985450886,L,8.0,0.0
5496,26,1,39991739,1312037749,1312037816,40961008,10144231/011025/1,1,20.190842,M,8.0,0.0
5496,27,1,47233553,1312040009,1312038593,36714885,090226/1,1,39.48985450886,L,8.0,0.0
5496,28,1,47233553,1312040009,1312038665,36714885,10143532/110925/33.7,1,11.544970677410612,M,0.5,0.0
5496,29,1,47233553,1312040009,1312038711,36714885,10143532/110925/25,1,5.4,M,8.0,0.0
5496,30,1,47233553,1312040009,0,44836816,090226/2,1,51.45129650886,L,8.0,0.0
5496,31,1,47233553,1312040009,1312038593,44836816,090226/1,1,39.48985450886,L,8.0,0.0
5496,32,1,47233553,1312040009,1312038665,44836816,10143532/110925/33.7,1,11.544970677410612,M,0.496,0.0
5496,33,1,47233553,1312040009,1312038711,44836816,10143532/110925/25,1,5.4,M,8.0,0.0
5496,34,1,34055391,1312062665,1312062731,46236987,10143532/110925/k1`,1,2.996159,M,4.0,0.0
5496,35,1,34055391,1312062665,1312062768,46236987,10143532/110925/33.7,1,11.544970677410612,M,0.28,0.0
5496,36,1,34055391,1312062665,1312062784,46236987,10143532/110925/25,1,5.4,M,4.0,0.0
5496,38,1,45748066,1308344164,1308344271,39234588,6722/180925,1,32.82,M,0.19,0.0
5496,39,1,47854542,1308344782,1308344841,47049208,10144596/101025/1,1,13.068572,M,1.46,0.0
5496,40,1,38624603,1310539391,1310539433,42348863,181125/2,1,0.51,M,0.22,0.0
5496,41,1,38624603,1310539391,1310634354,42348863,5166101/081025/2,1,18.5,M,2.53,0.0
5496,42,1,38624603,1310539391,1310634540,42348863,5166101/081025/1,1,14.5,M,1.1,0.0
5836,1,1,34055391,1312062665,0,49540274,090226/3,1,18.002059656969998,L,4.0,0.0
5836,2,1,34055391,1312062665,1312062731,49540274,10143532/110925/k1`,1,2.996159,M,4.0,0.0
5836,3,1,34055391,1312062665,1312062768,49540274,10143532/110925/33.7,1,11.544970677410612,M,0.28,0.0
