__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CREATED,DT_VAR,DT_STP,POS,ED_CENA,KOLICH,KOLICH2,MODIFY_MAT_VAL,MODIFY_MAT_TIP,MODIFY_VAL,MODIFY_TIP,PROPS,SIZE1
5246,1,1,49967252,1312038500,48819410,1,0.0,0.0,0.0,0.0,%,0.0,%,,
5246,2,1,49281320,1312037749,50001370,1,39.48985450886,4.0,0.0,0.0,%,0.0,%,|137—13 мин|,
5246,3,1,39314364,1308356621,45253756,1,170.0343236191683,10.0,0.0,0.0,%,0.0,%,,
5246,5,1,40113226,1310539391,-1,1,46.80800000000001,3.0,0.0,0.0,%,0.0,%,,
5246,6,1,44960646,1308348189,-2,1,0.5894252873563218,43.5,0.0,0.0,%,0.0,%,|137—30 мин|,
5246,9,1,1306672589,1306672589,-2,1,1.36,1.0,0.0,0.0,%,0.0,%,,
5246,10,1,38387853,1307737731,35144420,1,3.4794,20.0,0.0,0.0,%,0.0,%,,
5246,11,1,38387853,1307737731,-1,1,1.7397,20.0,0.0,0.0,%,0.0,%,,
5246,12,1,1306672630,1306672630,-2,1,0.0,1.0,0.0,0.0,%,0.0,%,,
5246,14,1,40798683,1308351747,-1,1,6.3955641,20.0,0.0,0.0,%,0.0,%,,
5246,16,1,1306672696,1306672696,-2,1,0.85824,1.0,0.0,0.0,%,0.0,%,,
5246,18,1,39314364,1308356621,48143827,1,170.0343236191683,10.0,0.0,0.0,%,0.0,%,,
5246,19,1,1306672775,1306672775,-2,1,1.36,1.0,0.0,0.0,%,0.0,%,,
5246,21,1,1306672882,1306672882,-2,1,0.0,1.0,0.0,0.0,%,0.0,%,,
5246,22,1,1306673011,1306673011,-2,1,3.04329,1.0,0.0,0.0,%,0.0,%,,
5246,23,1,1306673166,1306673166,-2,1,0.26486,1.0,0.0,0.0,%,0.0,%,,
5246,24,1,1306673342,1306673342,-2,1,9.520000000000001,1.0,0.0,0.0,%,0.0,%,,
5246,25,1,1306673534,1306673534,-2,1,0.0,1.0,0.0,0.0,%,0.0,%,,
5246,26,1,1306673736,1306673736,-2,1,2.72,1.0,0.0,0.0,%,0.0,%,,
5246,27,1,1306673954,1306673954,-2,1,0.04698,1.0,0.0,0.0,%,0.0,%,,
5246,28,1,1306674184,1306674184,-2,1,1.36,1.0,0.0,0.0,%,0.0,%,,
5246,29,1,1306674458,1306674458,-2,1,0.0,1.0,0.0,0.0,%,0.0,%,,
5246,30,1,38624603,1310539391,48005959,1,46.807831553333344,3.3,0.0,0.0,%,0.0,%,|137—9 часа 45 мин|,
5856,1,1,42586075,1307737731,-1,1,1.8312631578947365,38.0,0.0,0.0,%,0.0,%,,
5856,2,1,42586075,1307737731,41749393,1,1.7396999999999998,38.0,0.0,0.0,%,0.0,%,,
5856,3,1,49932569,1308351747,-2,1,6.3955641,1.0,0.0,0.0,%,0.0,%,,
5856,4,1,43116945,1300860652,47139275,1,5157.268,1.0,0.0,0.0,%,0.0,%,,
5856,5,1,1306674750,1306674750,-2,1,1.36,1.0,0.0,0.0,%,0.0,%,,
5856,6,1,45773546,1308344164,-1,1,1.1888888888888889,35.0,0.0,0.0,%,0.0,%,,
5856,7,1,39161073,1307737731,-2,1,0.9363099849653275,19.0,0.0,0.0,%,0.0,%,|137—57 мин машинна работа/1 час пренастройка на машина|,
5856,8,1,42586075,1307737731,44510007,1,1.7396999999999998,38.0,0.0,0.0,%,0.0,%,,
5856,10,1,38387853,1307737731,44420887,1,3.4794,20.0,0.0,0.0,%,0.0,%,,
5856,11,1,40113226,1310539391,38754772,1,46.80800000000001,3.0,0.0,0.0,%,0.0,%,,
5856,12,1,38927001,1308348189,-1,1,1.4758620689655173,35.0,0.0,0.0,%,0.0,%,,
5856,16,1,47025256,1308344782,-1,1,3.7313868613138688,35.0,0.0,0.0,%,0.0,%,,
5856,17,1,47025256,1308344782,38264367,1,3.7313868613138688,35.0,0.0,0.0,%,0.0,%,,
5856,19,1,45773546,1308344164,37167079,1,1.1888888888888889,35.0,0.0,0.0,%,0.0,%,,
5856,20,1,38927001,1308348189,39452779,1,1.4758620689655173,35.0,0.0,0.0,%,0.0,%,,
5856,26,1,35133179,1308351747,-1,1,3.2699999999999996,10.0,0.0,0.0,%,0.0,%,,
5856,27,1,39297021,1300860839,36945574,1,243962.3434744356,1.0,0.0,0.0,%,0.0,%,,
5856,28,1,1300860652,1300860652,-2,1,1588.1592701002544,1.0,1.0,0.0,%,0.0,%,,
5856,29,1,45773546,1308344164,42798440,1,1.1888888888888889,35.0,0.0,0.0,%,0.0,%,,
5856,30,1,36654702,1311532157,44481939,1,12023.313954199997,1.0,0.0,0.0,%,0.0,%,,
5856,32,1,47025256,1308344782,43690652,1,3.7313868613138683,35.0,0.0,0.0,%,0.0,%,,
5978,0,1,38927001,1308348189,49328018,1,1.4758620689655173,35.0,0.0,0.0,%,0.0,%,,
5978,4,1,47656930,1308351747,-1,1,6.4,35.0,0.0,0.0,%,0.0,%,,
5978,5,1,47656930,1308351747,37660698,1,6.396137819168279,35.0,0.0,0.0,%,0.0,%,,
5978,6,1,43987986,1307737731,-1,1,0.9363157894736841,40.0,0.0,0.0,%,0.0,%,|137—57 мин машинна работа/1 час пренастройка на машина|,
5978,7,1,47656930,1308351747,41414878,1,6.396137819168279,35.0,0.0,0.0,%,0.0,%,,
5978,8,1,47048524,1308356621,-1,1,173.96940400000003,10.0,0.0,0.0,%,0.0,%,,
5978,10,1,47048524,1308356621,40407933,1,185.0550980191683,10.0,0.0,0.0,%,0.0,%,,
5978,12,1,43987986,1307737731,35505348,1,0.9363157894736841,40.0,0.0,0.0,%,0.0,%,|137—57 мин машинна работа/1 час пренастройка на машина|,
5978,14,1,47048524,1308356621,48865886,1,185.0550980191683,10.0,0.0,0.0,%,0.0,%,,
5978,15,1,43987986,1307737731,44040911,1,0.9363157894736841,40.0,0.0,0.0,%,0.0,%,|137—57 мин машинна работа/1 час пренастройка на машина|,
5978,17,1,49281320,1312037749,37015689,1,39.48985450886,4.0,0.0,0.0,%,0.0,%,|137—13 мин|,
5978,21,1,36654702,1311532157,45335126,1,12023.313954199997,1.0,0.0,0.0,%,0.0,%,,
5978,23,1,47854542,1308344782,47049208,1,3.7313730182131386,10.0,0.0,0.0,%,0.0,%,|137—15 мин|,
5978,24,1,47233553,1312038500,-1,1,0.0,0.0,0.0,0.0,%,0.0,%,,
5978,27,1,42782948,1321638418,-2,1,77.32,1.0,0.0,0.0,%,0.0,%,,
5978,29,1,49669910,1308356621,-1,1,173.96940400000003,15.0,0.0,0.0,%,0.0,%,,
5978,31,1,49669910,1308356621,46936188,1,170.0343236191683,15.0,0.0,0.0,%,0.0,%,,
5978,32,1,49967252,1312038500,-1,1,0.0,0.0,0.0,0.0,%,0.0,%,,
5978,37,1,49669910,1308356621,34282710,1,170.0343236191683,15.0,0.0,0.0,%,0.0,%,,
