__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,PROP_ID,PROP_TIP,PROP_SUBTIP,PROP_POS,PROP_NAME,WEB_NAME,WEB_NAME_EN,VAL_ORDER_TYPE
1659,0,1,1,S,0,0,Вид,Вид,,0
1659,1,1,2,S,0,1,Размер,Размер,,0
1659,2,1,3,S,0,2,Марка,Марка,,0
1659,3,1,4,S,0,3,Модел,Модел,,0
1659,4,1,5,S,0,4,Местонахождение,Местонахождение,,0
1659,5,1,137,S,0,5,Време за единица,Време за единица,,0
1659,6,1,6,D,0,0,Пълнеж,Пълнеж,,0
1659,7,1,101,D,0,1,Операция 1,Операция 1,,0
1659,8,1,103,D,0,2,Време за операция 1,Време за операция 1,,0
1659,9,1,122,D,0,3,Операция 1.1,Операция 1.1,,0
1659,10,1,121,D,0,4,Време за операция 1.1,Време за операция 1.1,,0
1659,11,1,123,D,0,5,Операция 1.2,Операция 1.2,,0
1659,12,1,124,D,0,6,Време за операция 1.2,Време за операция 1.2,,0
1659,13,1,125,D,0,7,Разходни норми за операция 1,Разходни норми за операция 1,,0
1659,14,1,102,D,0,8,Операция 2,Операция 2,,0
1659,15,1,105,D,0,9,Време за операция 2,Време за операция 2,,0
1659,16,1,104,D,0,10,Операция 3,Операция 3,,0
1659,17,1,106,D,0,11,Време за операция 3,Време за операция 3,,0
1659,18,1,107,D,0,12,Ененргоемкост на операция 3,Ененргоемкост на операция 3,,0
1659,19,1,100,D,0,13,Операция 3.1,Операция 3.1,,0
1659,20,1,108,D,0,14,Време за операция 3.1,Време за операция 3.1,,0
1659,21,1,144,D,0,15,Операция 3.2,Операция 3.2,,0
1659,22,1,145,D,0,16,Време за операция 3.2,Време за операция 3.2,,0
1659,23,1,146,D,0,17,Операция 3.3,Операция 3.3,,0
1659,24,1,147,D,0,18,Време за операция 3.3,Време за операция 3.3,,0
1659,25,1,148,D,0,19,Операция 3.4,Операция 3.4,,0
1659,26,1,149,D,0,20,Време за операция 3.4,Време за операция 3.4,,0
1659,27,1,109,D,0,21,Операция 4,Операция 4,,0
1659,28,1,110,D,0,22,Време за операция 4,Време за операция 4,,0
1659,29,1,113,D,0,23,Разход за операция 4,Разход за операция 4,,0
1659,30,1,111,D,0,24,Операция 4.1,Операция 4.1,,0
1659,31,1,112,D,0,25,Време за операция 4.1,Време за операция 4.1,,0
1659,32,1,114,D,0,26,Операция 5,Операция 5,,0
1659,33,1,126,D,0,27,Време за операция 5,Време за операция 5,,0
1659,34,1,115,D,0,28,Операция 5.1,Операция 5.1,,0
1659,35,1,116,D,0,29,Време за операция 5.1,Време за операция 5.1,,0
1659,36,1,117,D,0,30,Операция 5.2,Операция 5.2,,0
1659,37,1,118,D,0,31,Време за операция 5.2,Време за операция 5.2,,0
1659,38,1,119,D,0,32,Операция 5.3,Операция 5.3,,0
1659,39,1,120,D,0,33,Време за операция 5.3,Време за операция 5.3,,0
1659,40,1,127,D,0,34,Операция 6,Операция 6,,0
1659,41,1,128,D,0,35,Време за операция 6,Време за операция 6,,0
1659,42,1,129,D,0,36,Операция 7,Операция 7,,0
1659,43,1,130,D,0,37,Време за операция 7,Време за операция 7,,0
5880,0,1,131,D,0,38,Операция 8,Операция 8,,0
5880,1,1,132,D,0,39,Време за операция 8,Време за операция 8,,0
5880,2,1,133,D,0,40,Операция 9,Операция 9,,0
5880,3,1,134,D,0,41,Време за операция 9,Време за операция 9,,0
5880,4,1,135,D,0,42,Операция 10,Операция 10,,0
5880,5,1,136,D,0,43,Време за операция 10,Време за операция 10,,0
5880,6,1,138,D,0,44,Операция 11,Операция 11,,0
5880,7,1,139,D,0,45,Време за операция 11,Време за операция 11,,0
5880,8,1,140,D,0,46,Операция 12,Операция 12,,0
5880,9,1,141,D,0,47,Време за операция 12,Време за операция 12,,0
5880,10,1,142,D,0,48,Операция 13,Операция 13,,0
5880,11,1,143,D,0,49,Време за операция 13,Време за операция 13,,0
5880,12,1,7,R,0,0,Пакет номер,Пакет номер,,0
