__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,USER_ID,KASA,SKLAD,READ_ONLY
10421,0,1,ADMIN,Y,Услуги,
10421,1,1,ADMIN,Z,Услуги,
10421,2,1,ADMIN,A,Цех,
10421,3,1,ADMIN,B,Цех,
10421,4,1,ADMIN,C,Цех,
10421,5,1,ADMIN,D,Цех,
10421,6,1,ADMIN,E,Цех,
10421,7,1,ADMIN,F,Цех,
10421,8,1,ADMIN,G,Цех,
10421,9,1,ADMIN,H,Цех,
10421,10,1,ADMIN,I,Цех,
10421,11,1,ADMIN,J,Цех,
10421,12,1,ADMIN,K,Цех,
10421,13,1,ADMIN,L,Цех,
10421,14,1,ADMIN,M,Цех,
10421,15,1,ADMIN,N,Цех,
10421,16,1,ADMIN,O,Цех,
10421,17,1,ADMIN,P,Цех,
10421,18,1,ADMIN,Q,Цех,
10421,19,1,ADMIN,R,Цех,
10421,20,1,ADMIN,S,Цех,
10421,21,1,ADMIN,T,Цех,
10421,22,1,ADMIN,U,Цех,
10421,23,1,ADMIN,V,Цех,
10421,24,1,ADMIN,W,Цех,
10421,25,1,ADMIN,X,Цех,
10421,26,1,ADMIN,Y,Цех,
10421,27,1,ADMIN,Z,Цех,
7779,46,1,Yordan Markov,A,Склад,
7779,47,1,Yordan Markov,B,Склад,
7779,48,1,Yordan Markov,C,Склад,
7779,49,1,Yordan Markov,D,Склад,
7779,50,1,Yordan Markov,E,Склад,
7779,51,1,Yordan Markov,F,Склад,
7779,52,1,Yordan Markov,G,Склад,
7779,53,1,Yordan Markov,H,Склад,
7779,54,1,Yordan Markov,I,Склад,
7779,55,1,Yordan Markov,J,Склад,
7779,56,1,Yordan Markov,K,Склад,
7779,57,1,Yordan Markov,L,Склад,
7779,58,1,Yordan Markov,M,Склад,
7779,59,1,Yordan Markov,N,Склад,
7779,60,1,Yordan Markov,O,Склад,
7780,0,1,Yordan Markov,P,Склад,
7780,1,1,Yordan Markov,Q,Склад,
7780,2,1,Yordan Markov,R,Склад,
7780,3,1,Yordan Markov,S,Склад,
7780,4,1,Yordan Markov,T,Склад,
7780,5,1,Yordan Markov,U,Склад,
7780,6,1,Yordan Markov,V,Склад,
7780,7,1,Yordan Markov,W,Склад,
7780,8,1,Yordan Markov,X,Склад,
7780,9,1,Yordan Markov,Y,Склад,
7780,10,1,Yordan Markov,Z,Склад,
7780,11,1,Гост,A,Склад,
7780,12,1,Гост,B,Склад,
7780,13,1,Гост,C,Склад,
