__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,RAZFAS,RAZFAS_EN,RAZFAS_STEP,KOLICH_STEP
1661,0,1,бр.,оп.,1.0,0.0
1661,1,1,100 бр.,,1.0,0.0
1661,2,1,м,,1.0,
1661,3,1,кг.,,1.0,0.0
1661,4,1,м.,,1.0,0.0
1661,5,1,-,,1.0,0.0
1661,6,1,100 м.,,1.0,0.0
1661,7,1,лист,,1.0,0.0
1661,8,1, лист,,1.0,0.0
1661,9,1,100m,,1.0,0.0
1661,10,1,50m,,1.0,0.0
1661,11,1,м3,,1.0,0.0
1661,12,1,дост.,,1.0,0.0
1661,13,1,кв.м.,,1.0,0.0
1661,14,1,литър.,,1.0,
1661,15,1,оп.,,1.0,
1661,16,1,3м.,,1.0,
1661,17,1,Чифт,,1.0,
1661,18,1,1 оп.,,1.0,
1661,19,1,мм.,,1.0,
