__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,DT_DOC,DT_CHANGED,SMETKA,SKLAD,CENA_TIP,PROPS,NOTE,OWNER,SIGN_BY,KASA,IS_OPEN,IS_BLOCKED
1751,0,1,3157303,1300162319,1300163597,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,R,,N
1751,1,1,9914786,1300260521,1300260701,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,2,1,10248330,1300754296,1300755585,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,3,1,10515836,1300838268,1300839237,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,4,1,39904921,1300964437,1300964459,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,5,1,35561718,1301338028,1301338112,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,6,1,38228518,1301442868,1301447331,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,7,1,45667912,1301532952,1301532952,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,8,1,42675388,1301636434,1301636439,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,9,1,50116269,1302152933,1302152995,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,10,1,48972783,1302255138,1302255138,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,11,1,38754417,1302343026,1302344443,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,12,1,47202388,1302363030,1302363045,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,13,1,44676541,1302434531,1302450113,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,14,1,43013413,1302439834,1302439834,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,15,1,48408635,1302763375,1302763409,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,16,1,44995001,1302864117,1302864117,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,17,1,41615148,1302933461,1302933467,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,18,1,35550312,1303138612,1303138612,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,19,1,39602325,1303535596,1303535606,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,20,1,44415505,1304936279,1304936303,ръчна редакция,"Склад 3, 10/30kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,21,1,44086415,1305142683,1305142981,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,22,1,41961569,1305239246,1305244210,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,23,1,37585235,1305735670,1305757292,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
1751,24,1,42360220,1305942647,1305942706,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,0,1,48804394,1306262010,1306262019,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,1,1,47923234,1306439690,1306460970,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,2,1,45229922,1306641184,1306641184,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,3,1,39186356,1306651541,1306651541,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,4,1,45507456,1306932299,1306959264,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,5,1,49838540,1306933157,1306933161,ръчна редакция,"Склад 3, 10/30kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,6,1,41010613,1306935696,1306935696,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,7,1,35313204,1307035028,1307051347,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,8,1,45473139,1307134608,1307134655,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,9,1,49400422,1307740212,1307740405,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,10,1,49901487,1307841459,1307842165,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,11,1,46353937,1308029698,1308040482,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,12,1,47661136,1308361093,1308361100,ръчна редакция,2. МЕТАЛХИДРИД,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,13,1,47868648,1308535605,1308564102,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,14,1,47176187,1308634398,1308642252,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,15,1,35175162,1309033906,1309057887,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,16,1,46024442,1309233149,1309233354,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,17,1,40800551,1309340777,1309342141,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,18,1,49753190,1309342348,1309342360,ръчна редакция,2. МЕТАЛХИДРИД,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,19,1,39462728,1309359343,1309359347,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,20,1,45042701,1309364343,1309364356,ръчна редакция,Услуги,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,21,1,34874751,1309440413,1309441076,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,22,1,40303415,1309735657,1309744401,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,23,1,39971741,1309862011,1309862085,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5476,24,1,36507453,1310533242,1310534251,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,0,1,45291084,1310533330,1310533330,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,1,1,44017911,1311155367,1311155373,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,2,1,45479601,1311452918,1311453214,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,3,1,34151857,1312062543,1312062543,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,4,1,36170622,1312144412,1312144506,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,5,1,42175454,1312563376,1312563383,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,6,1,46024386,1312650701,1312650705,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,7,1,46872367,1312738962,1312741051,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,8,1,42690299,1313232933,1313232937,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,9,1,1313256701,1313256701,1313256930,0000000001,Склад,4,,,ADMIN,,Z,,N
5500,10,1,1313359202,1313359202,1313359262,0000000002,Склад,4,,,ADMIN,,Z,,N
5500,11,1,45945417,1313461628,1313461633,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,12,1,33905226,1313534101,1313560728,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,13,1,1313930709,1313930709,1313930849,0000000003,Склад,4,,,ADMIN,,Z,,N
5500,14,1,1313931057,1313931057,1313931108,0000000004,Склад,4,,,ADMIN,,Z,,N
5500,15,1,1313931130,1313931130,1313931166,0000000005,Склад,4,,,ADMIN,,Z,,N
5500,16,1,48014781,1314034823,1314063122,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,17,1,45886076,1315332456,1315357792,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,18,1,48909883,1316042502,1316042529,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,19,1,35359514,1316133192,1316133192,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,20,1,46034611,1316252250,1316257071,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,21,1,48230298,1316253028,1316253035,ръчна редакция,Суровини,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,22,1,47492732,1316254015,1316254023,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,23,1,1316350067,1316350067,1316350100,0000000006,Склад,4,,,ADMIN,,Z,,N
5500,24,1,43832948,1316360838,1316360910,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,25,1,45641320,1316363558,1316363591,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,26,1,41745753,1316432668,1316462462,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
5500,27,1,40175234,1316458320,1316458320,ръчна редакция,"Склад производство, 500kW",4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,0,1,45323473,1317036280,1317059218,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,1,1,38790263,1317132736,1317163020,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,2,1,1317143533,1317143533,1317143589,0000000007,Склад,4,,,ADMIN,,Z,,N
6365,3,1,44073164,1317159113,1317162461,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,4,1,49856326,1317433886,1317463239,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,5,1,1317440366,1317440366,1317440403,0000000008,0. СКЛАД - ОСНОВЕН,4,,,ADMIN,,Z,,N
6365,6,1,34870145,1317460267,1317460283,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,7,1,36239664,1317535820,1317550953,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,8,1,49643885,1317539170,1317550825,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,9,1,48810952,1317632233,1317645309,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,10,1,36298573,1317633669,1317657581,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,11,1,43763398,1317655480,1317655503,ръчна редакция,Услуги,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,12,1,1317658632,1317658632,1317658674,0000000009,0. СКЛАД - ОСНОВЕН,4,,,ADMIN,,Z,,N
6365,13,1,38903846,1317733194,1317764574,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,14,1,1317757149,1317757149,1317757273,0000000010,System - 90kW Volkswagen (59),4,,,ADMIN,,Z,,N
6365,15,1,43862356,1317852062,1317862383,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,16,1,49018270,1318163532,1318163554,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,17,1,49796793,1318238734,1318238750,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,18,1,50273524,1318239079,1318262277,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,19,1,1318253334,1318253334,1318253421,0000000011,0. СКЛАД - ОСНОВЕН,4,,,ADMIN,,Z,,N
6365,20,1,43540008,1318335233,1318360590,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
6365,21,1,44768933,1318451835,1318455977,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
6365,22,1,47038648,1318833063,1318864195,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
6365,23,1,48285327,1318932127,1318963146,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
6365,24,1,38211867,1319035275,1319061429,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
6365,25,1,48627586,1319162530,1319162563,ръчна редакция,Склад,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,1,1,43469508,1319535544,1319558893,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,2,1,42310998,1319555494,1319555508,ръчна редакция,System - 90kW Volkswagen (59),4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,3,1,46927223,1319632188,1319662431,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,4,1,47487734,1319733809,1319737692,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,5,1,46739484,1319839610,1319863596,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,6,1,47827221,1319932258,1319943109,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,7,1,47300708,1320232733,1320243756,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,8,1,46857789,1320328779,1320333124,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,9,1,38429694,1320458302,1320458307,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,10,1,41141260,1320940107,1320955713,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,11,1,34675309,1320962347,1320962377,ръчна редакция,System - 90kW Volkswagen (59),4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,12,1,34446982,1321229878,1321235850,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
7155,13,1,34867648,1333633146,1333633146,ръчна редакция,0. СКЛАД - ОСНОВЕН,4,,Автогенерирана ревизия от ръчна редакция на количествата,ADMIN,,Z,,N
7155,14,1,34690285,1321244588,1321244868,ръчна редакция,System - 90kW Volkswagen (59),4,,Автогенерирана ревизия от ръчна редакция на количествата,Yordan Markov,,Z,,N
