__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,ID_STEP,POS,TIP,DT_CHANGED,NAME,IS_ACTIVE,SM_TYPE,FG_COLOR
1598,0,1,1,10,1,,Оглед,Y,0,0
1598,1,1,2,20,2,,Оценка на дефект,Y,19,0
1598,2,1,3,30,3,,Потвърждаване от клиента,Y,20,0
1598,3,1,4,40,4,,Приемане за ремонт,Y,3,0
1598,4,1,5,50,5,,Ремонт,Y,-1,0
1598,5,1,6,60,6,,Ремонт при производител,Y,-1,0
1598,6,1,7,70,7,,Изписване,Y,0,0
1598,7,1,8,80,8,,Връщане на клиента,Y,2,0
1598,8,1,9,90,9,,Приемане за замяна,Y,5,0
1598,9,1,10,100,10,,Предаване за замяна,Y,0,0
