__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,NUM,POS,IS_FACTUR,SKLAD_1,SKLAD_2,GRUPA,STOKA,SER_NO,KOLICH,KOLICH2,KOLICH_2S,KOLICH2_2S,KOLICH_CHECK,DDS,CENA,VALUTA,DISCOUNT,KONSIGNACIA,KB_ID,CENA_LIST,CENA_LIST_TYPE,ENDDATE,WARRANTY,KUP_CENA,KUP_VALUTA,NOTE,NOTE2,T_DATETIME,T_NUM,CD_SELL_KOLICH,PROPS_ROW,CENA_DR_1,CENA_DR_2,VALUTA_DR_1,VALUTA_DR_2,WMS_KOLICH,WMS_KOLICH_2S
5259,1,3,49295105,1,1,Y,Склад,"Склад производство, 500kW",Вътрешна резба,Преход 316L резба вътрешна 150LBS 1“х1/2“,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,L,0.0,P,0,Доставни цени,N,2025-08-22 10:50:40.000,,0.0,L,,,0,0,0.0,,0.0,0.0,L,L,2.0,2.0
5259,2,3,2024181,4,4,Y,Склад,"Склад производство, 500kW",Колена на резба,Коляно 90° 316L резба М/Ж 1/2“,07082025,2.0,0.0,2.0,0.0,0.0,0.0,7.824,L,-0.0,Y,0,Доставни цени,N,2025-08-15 07:58:07.000,,3.912,L,,,0,0,0.0,,0.0,0.0,L,L,2.0,2.0
5259,3,3,2024181,3,3,Y,Склад,"Склад производство, 500kW",Кабели - Сензори,Кабел PUR М12 конектор 10м,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,L,0.0,P,0,Доставни цени,N,2025-08-15 07:58:07.000,,0.0,L,,,0,0,0.0,,0.0,0.0,L,L,1.0,1.0
5259,4,3,2024181,5,5,Y,Склад,"Склад производство, 500kW",Тройници на резба,Тройник 316L резба вътрешна 1/2“,07082025,2.0,0.0,2.0,0.0,0.0,0.0,9.096,L,-0.0,Y,0,Доставни цени,N,2025-08-15 07:58:07.000,,4.548,L,,,0,0,0.0,,0.0,0.0,L,L,2.0,2.0
5259,5,3,45100278,1,1,Y,Склад,"Склад производство, 500kW",Колена на резба,Коляно 90° 304L резба М/Ж 1/2“,263836135,1.0,0.0,1.0,0.0,0.0,0.0,1.0,L,-0.0,Y,0,Доставни цени,N,2025-08-25 08:07:16.000,,1.0,L,,,0,0,0.0,,0.0,0.0,L,L,1.0,1.0
5259,6,3,13280133,1,1,Y,Склад,"Склад производство, 500kW",Тапи на резба,Тапа 316L резба 1/4“,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,L,0.0,P,0,Доставни цени,N,2025-08-18 13:54:46.000,,0.0,L,,,0,0,0.0,,0.0,0.0,L,L,2.0,2.0
5259,7,3,5699944,1,1,Y,Склад,"Склад производство, 500kW",Муфи на резба,Муфа 316L резба 150LBS 1/2“,07082025,6.0,0.0,6.0,0.0,0.0,0.0,21.6,L,-0.0,Y,0,Доставни цени,N,2025-08-20 09:08:48.000,,3.6,L,,,0,0,0.0,,0.0,0.0,L,L,6.0,6.0
5259,8,3,5699944,2,2,Y,Склад,"Склад производство, 500kW",Контактори,"Контактор 11kW/25A, AC-3, 1NC, 230V AC размер 1",,3.0,0.0,3.0,0.0,0.0,0.0,0.0,L,0.0,P,0,Доставни цени,N,2025-08-20 09:08:48.000,,0.0,L,,,0,0,0.0,,0.0,0.0,L,L,3.0,3.0
5259,9,3,49295105,3,3,Y,Склад,"Склад производство, 500kW",М6,Болт с шест.гл. 8.8 vZn М6х90,,20.0,0.0,20.0,0.0,0.0,0.0,0.0,L,0.0,P,0,Доставни цени,N,2025-08-22 10:50:40.000,,0.0,L,,,0,0,0.0,,0.0,0.0,L,L,20.0,20.0
5259,10,3,49295105,19,19,Y,Склад,"Склад производство, 500kW",Муфи на резба,Муфа 316L резба 150LBS 1/4“,,5.0,0.0,5.0,0.0,0.0,0.0,0.0,L,0.0,P,0,Доставни цени,N,2025-08-22 10:50:40.000,,0.0,L,,,0,0,0.0,,0.0,0.0,L,L,5.0,5.0
