relation_id,table,csv_file,rows_exported,field_count,latest_format,formats_seen,row_errors
145,CENI,tables/CENI.csv,207,12,1,1:207,0
146,CENI_ITEMS,tables/CENI_ITEMS.csv,3221,25,1,1:3221,0
149,COUNTRIES,tables/COUNTRIES.csv,248,5,1,1:248,0
177,FIRMI,tables/FIRMI.csv,176,96,2,1:78;2:98,0
184,GRUPI,tables/GRUPI.csv,174,36,1,1:174,0
190,KUPUWA,tables/KUPUWA.csv,463,51,1,1:463,0
191,KUPUWA_ITEMS,tables/KUPUWA_ITEMS.csv,1407,63,5,2:49;5:1358,0
214,PARAMS,tables/PARAMS.csv,477,3,1,1:477,0
233,PROD,tables/PROD.csv,187,48,1,1:187,0
234,PROD_VARS,tables/PROD_VARS.csv,199,13,1,1:199,0
235,PROD_ROWS,tables/PROD_ROWS.csv,3582,16,1,1:3582,0
236,PROD_CELS,tables/PROD_CELS.csv,3618,13,1,1:3618,0
237,PROD_SERS,tables/PROD_SERS.csv,649,10,1,1:649,0
255,REWIZIA,tables/REWIZIA.csv,147,13,1,1:147,0
256,REWIZIA_ITEMS,tables/REWIZIA_ITEMS.csv,4101,15,1,1:4101,0
257,SER_NO,tables/SER_NO.csv,2450,27,1,1:2450,0
259,SKLADS,tables/SKLADS.csv,20,17,1,1:20,0
263,STOKI,tables/STOKI.csv,3728,24,1,1:3728,0
264,STOKI_DEF,tables/STOKI_DEF.csv,1821,67,1,1:1821,0
274,TRANSFER,tables/TRANSFER.csv,289,34,1,1:289,0
275,TRANSFER_ITEMS,tables/TRANSFER_ITEMS.csv,2373,38,3,3:2373,0
276,USERS_ACTIONS,tables/USERS_ACTIONS.csv,590,7,1,1:590,0
