relation_id,table,field_position,field_name,dtype_code,dtype,length,scale,subtype,offset_latest_format,latest_format
145,CENI,0,DATETIME,9,long,4,0,0,4,1
145,CENI,1,DT_DOC,9,long,4,0,0,8,1
145,CENI,2,DT_CHANGED,9,long,4,0,0,12,1
145,CENI,3,SMETKA,1,text,32,0,0,16,1
145,CENI,4,OWNER,1,text,48,0,0,48,1
145,CENI,5,SIGN_BY,1,text,48,0,0,96,1
145,CENI,6,NOTE,1,text,255,0,0,144,1
145,CENI,7,IS_OPEN,1,text,1,0,0,399,1
145,CENI,8,BY_MODUL,1,text,48,0,0,400,1
145,CENI,9,BY_SMETKA,1,text,32,0,0,448,1
145,CENI,10,BY_SMTYPE,9,long,4,0,0,480,1
145,CENI,11,IS_REALIZED,1,text,1,0,0,484,1
146,CENI_ITEMS,0,DATETIME,9,long,4,0,0,4,1
146,CENI_ITEMS,1,NUM,9,long,4,0,0,8,1
146,CENI_ITEMS,2,GRUPA,1,text,48,0,0,12,1
146,CENI_ITEMS,3,STOKA,1,text,48,0,0,60,1
146,CENI_ITEMS,4,SKLAD,1,text,48,0,0,108,1
146,CENI_ITEMS,5,OLD_VALUTA_KUP,1,text,1,0,0,156,1
146,CENI_ITEMS,6,OLD_CENA_KUP,12,double,8,0,0,160,1
146,CENI_ITEMS,7,OLD_VALUTA_PROD_ED,1,text,1,0,0,168,1
146,CENI_ITEMS,8,OLD_CENA_PROD_ED1,12,double,8,0,0,176,1
146,CENI_ITEMS,9,OLD_VALUTA_PROD_DR,1,text,1,0,0,184,1
146,CENI_ITEMS,10,OLD_CENA_PROD_DR1,12,double,8,0,0,192,1
146,CENI_ITEMS,11,NEW_VALUTA_KUP,1,text,1,0,0,200,1
146,CENI_ITEMS,12,NEW_CENA_KUP,12,double,8,0,0,208,1
146,CENI_ITEMS,13,NEW_VALUTA_PROD_ED,1,text,1,0,0,216,1
146,CENI_ITEMS,14,NEW_CENA_PROD_ED1,12,double,8,0,0,224,1
146,CENI_ITEMS,15,NEW_VALUTA_PROD_DR,1,text,1,0,0,232,1
146,CENI_ITEMS,16,NEW_CENA_PROD_DR1,12,double,8,0,0,240,1
146,CENI_ITEMS,17,NOTE,1,text,64,0,0,248,1
146,CENI_ITEMS,18,AVG_VALUTA_KUP,1,text,1,0,0,312,1
146,CENI_ITEMS,19,AVG_CENA_KUP,12,double,8,0,0,320,1
146,CENI_ITEMS,20,AVG_KOLICH,12,double,8,0,0,328,1
146,CENI_ITEMS,21,AVG_DT,9,long,4,0,0,336,1
146,CENI_ITEMS,22,NALICH,12,double,8,0,0,344,1
146,CENI_ITEMS,23,IS_CHANGED,1,text,1,0,0,352,1
146,CENI_ITEMS,24,IS_TEMP,1,text,1,0,0,353,1
149,COUNTRIES,0,CODE,1,text,2,0,0,4,1
149,COUNTRIES,1,NAME,1,text,48,0,0,6,1
149,COUNTRIES,2,NAME_BG,1,text,48,0,0,54,1
149,COUNTRIES,3,IS_EU,1,text,1,0,0,102,1
149,COUNTRIES,4,OSS_VAT,12,double,8,0,0,104,1
177,FIRMI,0,DT_CHANGED,9,long,4,0,0,12,2
177,FIRMI,1,FIRMA,1,text,48,0,0,16,2
177,FIRMI,2,ID_FIRMA,9,long,4,0,0,64,2
177,FIRMI,3,CODE,1,text,24,0,0,68,2
177,FIRMI,4,COUNTRY,1,text,2,0,0,92,2
177,FIRMI,5,CITY,1,text,32,0,0,94,2
177,FIRMI,6,ADDR,1,text,128,0,0,126,2
177,FIRMI,7,POST,1,text,16,0,0,254,2
177,FIRMI,8,C_COUNTRY,1,text,2,0,0,270,2
177,FIRMI,9,C_CITY,1,text,32,0,0,272,2
177,FIRMI,10,C_ADDR,1,text,128,0,0,304,2
177,FIRMI,11,C_POST,1,text,16,0,0,432,2
177,FIRMI,12,TEL,1,text,128,0,0,448,2
177,FIRMI,13,MOL,1,text,48,0,0,576,2
177,FIRMI,14,EGN,1,text,10,0,0,624,2
177,FIRMI,15,EMAIL,1,text,64,0,0,634,2
177,FIRMI,16,DAN_NO,1,text,16,0,0,698,2
177,FIRMI,17,BULSTAT,1,text,16,0,0,714,2
177,FIRMI,18,EIK_VAT,1,text,16,0,0,730,2
177,FIRMI,19,BANK,1,text,32,0,0,746,2
177,FIRMI,20,BANK_CODE,1,text,16,0,0,778,2
177,FIRMI,21,BANK_KLON,1,text,32,0,0,794,2
177,FIRMI,22,BANK_SMETKA,1,text,32,0,0,826,2
177,FIRMI,23,DDS_BANK,1,text,32,0,0,858,2
177,FIRMI,24,DDS_BANK_CODE,1,text,16,0,0,890,2
177,FIRMI,25,DDS_BANK_KLON,1,text,32,0,0,906,2
177,FIRMI,26,DDS_BANK_SMETKA,1,text,32,0,0,938,2
177,FIRMI,27,POLUCHATEL,1,text,48,0,0,970,2
177,FIRMI,28,POLUCHATEL_EGN,1,text,10,0,0,1018,2
177,FIRMI,29,PREWOZ,1,text,48,0,0,1028,2
177,FIRMI,30,CAR_NO,1,text,8,0,0,1076,2
177,FIRMI,31,PARENT,1,text,48,0,0,1084,2
177,FIRMI,32,BROKER,1,text,48,0,0,1132,2
177,FIRMI,33,PASSWRD,1,text,32,0,0,1180,2
177,FIRMI,34,INIT_SALDO_USD,12,double,8,0,0,1216,2
177,FIRMI,35,INIT_SALDO_DM,12,double,8,0,0,1224,2
177,FIRMI,36,INIT_SALDO_LV,12,double,8,0,0,1232,2
177,FIRMI,37,INIT_SALDO_1,12,double,8,0,0,1240,2
177,FIRMI,38,INIT_SALDO_2,12,double,8,0,0,1248,2
177,FIRMI,39,INIT_SALDO_3,12,double,8,0,0,1256,2
177,FIRMI,40,INIT_SALDO_4,12,double,8,0,0,1264,2
177,FIRMI,41,INIT_SALDO_5,12,double,8,0,0,1272,2
177,FIRMI,42,SALDO_USD,12,double,8,0,0,1280,2
177,FIRMI,43,SALDO_DM,12,double,8,0,0,1288,2
177,FIRMI,44,SALDO_LV,12,double,8,0,0,1296,2
177,FIRMI,45,SALDO_1,12,double,8,0,0,1304,2
177,FIRMI,46,SALDO_2,12,double,8,0,0,1312,2
177,FIRMI,47,SALDO_3,12,double,8,0,0,1320,2
177,FIRMI,48,SALDO_4,12,double,8,0,0,1328,2
177,FIRMI,49,SALDO_5,12,double,8,0,0,1336,2
177,FIRMI,50,NOTE,17,blob,8,0,1,1344,2
177,FIRMI,51,MOL_EGN,1,text,10,0,0,1352,2
177,FIRMI,52,TIP,1,text,1,0,0,1362,2
177,FIRMI,53,IS_TIP_REAL,1,text,1,0,0,1363,2
177,FIRMI,54,IS_LOST,1,text,1,0,0,1364,2
177,FIRMI,55,WANTED,1,text,64,0,0,1365,2
177,FIRMI,56,IS_DDS_REG,1,text,1,0,0,1429,2
177,FIRMI,57,AGENT,1,text,48,0,0,1430,2
177,FIRMI,58,F_GRUPA,1,text,48,0,0,1478,2
177,FIRMI,59,CONNECT_BY,1,text,48,0,0,1526,2
177,FIRMI,60,DATE_CREATED,9,long,4,0,0,1576,2
177,FIRMI,61,PROPS,17,blob,8,0,1,1584,2
177,FIRMI,62,LIMIT_CREDIT,12,double,8,0,0,1592,2
