__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DATETIME,NUM,GRUPA,STOKA,SKLAD,OLD_VALUTA_KUP,OLD_CENA_KUP,OLD_VALUTA_PROD_ED,OLD_CENA_PROD_ED1,OLD_VALUTA_PROD_DR,OLD_CENA_PROD_DR1,NEW_VALUTA_KUP,NEW_CENA_KUP,NEW_VALUTA_PROD_ED,NEW_CENA_PROD_ED1,NEW_VALUTA_PROD_DR,NEW_CENA_PROD_DR1,NOTE,AVG_VALUTA_KUP,AVG_CENA_KUP,AVG_KOLICH,AVG_DT,NALICH,IS_CHANGED,IS_TEMP
7123,0,1,46260519,1,Вътрешни изделия и детайли,Тапа за бутилка,2. МЕТАЛХИДРИД,L,1.48,L,0.0,L,0.0,L,1.15,L,0.0,L,0.0,,L,0.0,0.0,1319144474,20.0,Y,N
7123,1,1,49697367,1,Вътрешни изделия и детайли,Тапа за бутилка,,L,1.48,L,0.0,L,0.0,L,1.15,L,0.0,L,0.0,,L,0.0,0.0,1319144474,20.0,Y,N
7123,2,1,35733560,1,Вътрешни изделия и детайли,Дъно за бутилка,2. МЕТАЛХИДРИД,L,1.19,L,0.0,L,0.0,L,0.93,L,0.0,L,0.0,,L,0.0,0.0,1319144512,20.0,Y,N
7123,3,1,49697367,2,Вътрешни изделия и детайли,Дъно за бутилка,,L,0.0,L,0.0,L,0.0,L,0.93,L,0.0,L,0.0,,L,0.0,0.0,1319144512,20.0,Y,N
7123,4,1,36748834,1,1.3. Металхидрид,Бутилки Металхидрид - Готови,Неактивен 3,L,171.89,L,0.0,L,0.0,L,176.55,L,0.0,L,0.0,,L,0.0,0.0,1319144876,55.0,Y,N
7123,5,1,49697367,3,1.3. Металхидрид,Бутилки Металхидрид - Готови,,L,171.89,L,0.0,L,0.0,L,176.55,L,0.0,L,0.0,,L,0.0,0.0,1319144876,65.0,Y,N
7123,6,1,49697367,4,1.3. Металхидрид,Бутилки Металхидрид - Готови,System - 10kW Italy,L,171.89,L,0.0,L,0.0,L,176.55,L,0.0,L,0.0,,L,0.0,0.0,1319144876,10.0,Y,N
7123,7,1,33899184,1,4. Съдове,Разширителен съд под налягане 8л.,,M,18.368,M,0.0,M,0.0,M,18.368,M,0.0,M,0.0,,L,0.0,0.0,1319153477,0.0,N,N
7123,8,1,42313023,1,4. Съдове,Разширителен съд под налягане 8л.,,M,18.368,M,0.0,M,0.0,M,18.37,M,0.0,M,0.0,,L,0.0,0.0,1319153483,0.0,Y,N
7123,9,1,33899184,2,"2.7. PP, Месинг, Хром връзки",Капа PP ф25,,M,0.776,M,0.0,M,0.0,M,0.776,M,0.0,M,0.0,,L,0.0,0.0,1319153549,0.0,N,N
7123,10,1,42313023,2,"2.7. PP, Месинг, Хром връзки",Капа PP ф25,,M,0.776,M,0.0,M,0.0,M,0.78,M,0.0,M,0.0,,L,0.0,0.0,1319153551,0.0,Y,N
7123,11,1,33899184,3,"2.7. PP, Месинг, Хром връзки",Нипел месинг вътрешно редуктивен 1 1/2“х1“,,M,1.288,M,0.0,M,0.0,M,1.288,M,0.0,M,0.0,,L,0.0,0.0,1319153660,0.0,N,N
7123,12,1,42313023,3,"2.7. PP, Месинг, Хром връзки",Нипел месинг вътрешно редуктивен 1 1/2“х1“,,M,1.288,M,0.0,M,0.0,M,1.29,M,0.0,M,0.0,,L,0.0,0.0,1319153662,0.0,Y,N
7123,13,1,33899184,4,"2.7. PP, Месинг, Хром връзки",Преход PP резба вътрешна ф32х3/4“,,M,4.376,M,0.0,M,0.0,M,4.376,M,0.0,M,0.0,,L,0.0,0.0,1319153748,0.0,N,N
7123,14,1,42313023,4,"2.7. PP, Месинг, Хром връзки",Преход PP резба вътрешна ф32х3/4“,,M,4.376,M,0.0,M,0.0,M,4.38,M,0.0,M,0.0,,L,0.0,0.0,1319153750,0.0,Y,N
7123,15,1,49697367,5,М12,Шайба подложна vZn М12,,M,0.014827,L,0.0,L,0.0,M,0.01,L,0.0,L,0.0,,L,0.0,0.0,1319156797,653.0,Y,N
7123,16,1,49697367,6,М12,Шайба подложна vZn М12,Склад,M,0.014827,L,0.0,L,0.0,M,0.01,L,0.0,L,0.0,,L,0.0,0.0,1319156797,0.0,Y,N
7123,17,1,49697367,7,М12,Шайба подложна vZn М12,0. СКЛАД - ОСНОВЕН,M,0.014827,L,0.0,L,0.0,M,0.01,L,0.0,L,0.0,,L,0.0,0.0,1319156797,419.0,Y,N
7123,18,1,49697367,8,М12,Шайба подложна vZn М12,System - 60kW Brikel (60),M,0.014827,L,0.0,L,0.0,M,0.01,L,0.0,L,0.0,,L,0.0,0.0,1319156797,96.0,Y,N
7123,19,1,34181480,1,1) Грийн Иновейшън АД,АЕМ-Z 30 kW,Склад,L,0.0,L,0.0,L,0.0,L,5157.27,L,0.0,L,0.0,,L,0.0,0.0,1319232613,1.0,Y,N
7123,20,1,41727788,1,1) Грийн Иновейшън АД,АЕМ-Z 30 kW,,L,0.0,L,0.0,L,0.0,L,5157.27,L,0.0,L,0.0,,L,0.0,0.0,1319232613,1.0,Y,N
7123,21,1,48130677,1,4. Услуги,"Буферен съд 100л, ф500 верт.",0. СКЛАД - ОСНОВЕН,M,2215.5964475440096,L,0.0,L,0.0,M,532.5958,L,0.0,L,0.0,,L,0.0,0.0,1319236788,1.0,Y,N
7123,22,1,41727788,2,4. Услуги,"Буферен съд 100л, ф500 верт.",,L,4333.33,L,0.0,L,0.0,M,532.5958,L,0.0,L,0.0,,L,0.0,0.0,1319236788,1.0,Y,N
7123,23,1,41727788,3,4. Услуги,"Буферен съд 100л, ф500 верт.",Склад,L,4333.33,L,0.0,L,0.0,M,532.5958,L,0.0,L,0.0,,L,0.0,0.0,1319236788,0.0,Y,N
7123,24,1,41727788,4,4. Услуги,"Буферен съд 100л, ф500 верт.","Склад производство, 500kW",M,0.0,M,0.0,M,0.0,M,532.5958,L,0.0,L,0.0,,L,0.0,0.0,1319236788,0.0,Y,N
7123,25,1,48130677,2,Сензори,Дебитомер SM 9500,,L,1057.0,L,0.0,L,0.0,M,540.435518,L,0.0,L,0.0,,L,0.0,0.0,1319241375,2.0,Y,N
7123,26,1,41727788,5,Сензори,Дебитомер SM 9500,Склад,L,1057.0,L,0.0,L,0.0,M,540.435518,L,0.0,L,0.0,,L,0.0,0.0,1319241375,0.0,Y,N
5959,0,1,41727788,6,Сензори,Дебитомер SM 9500,System - 90kW Volkswagen (59),L,1057.0,L,0.0,L,0.0,M,540.435518,L,0.0,L,0.0,,L,0.0,0.0,1319241375,2.0,Y,N
5959,1,1,48130677,3,3. Метални Елементи,Профилна тръба ГВ 60/60/3,,M,0.0,M,0.0,M,0.0,M,0.0,M,0.0,M,0.0,,L,0.0,0.0,1319244823,0.0,N,N
5959,2,1,48130677,4,3. Метални Елементи,Профилна тръба ГВ 60/60/3,,M,0.0,M,0.0,M,0.0,M,4.508,M,0.0,M,0.0,,L,0.0,0.0,1319244998,0.0,Y,N
5959,3,1,48130677,5,3. Метални Елементи,Винкел ГВ 40/40/3,,M,1.978692,L,0.0,L,0.0,M,6.725,L,0.0,L,0.0,,L,0.0,0.0,1319245134,24.0,Y,N
5959,4,1,41727788,7,3. Метални Елементи,Винкел ГВ 40/40/3,Склад,M,1.978692,L,0.0,L,0.0,M,6.725,L,0.0,L,0.0,,L,0.0,0.0,1319245134,0.0,Y,N
5959,5,1,41727788,8,3. Метални Елементи,Винкел ГВ 40/40/3,System - 90kW Volkswagen (59),M,1.978692,L,0.0,L,0.0,M,6.725,L,0.0,L,0.0,,L,0.0,0.0,1319245134,12.0,Y,N
5959,6,1,41727788,9,3. Метални Елементи,Винкел ГВ 40/40/3,0. СКЛАД - ОСНОВЕН,M,1.978692,L,0.0,L,0.0,M,6.725,L,0.0,L,0.0,,L,0.0,0.0,1319245134,12.0,Y,N
5959,7,1,41727788,10,3. Метални Елементи,Винкел ГВ 40/40/3,"Склад производство, 500kW",M,0.0,M,0.0,M,0.0,M,6.725,L,0.0,L,0.0,,L,0.0,0.0,1319245134,0.0,Y,N
5959,8,1,39991046,1,3. Метални Елементи,Винкел ГВ 40/40/3,0. СКЛАД - ОСНОВЕН,M,6.725,L,0.0,L,0.0,M,6.72,L,0.0,L,0.0,,L,0.0,0.0,1319245281,16.0,Y,N
5959,9,1,41727788,11,3. Метални Елементи,Винкел ГВ 40/40/3,,M,6.725,L,0.0,L,0.0,M,6.72,L,0.0,L,0.0,,L,0.0,0.0,1319245282,28.0,Y,N
5959,10,1,41727788,12,3. Метални Елементи,Винкел ГВ 40/40/3,Склад,M,6.725,L,0.0,L,0.0,M,6.72,L,0.0,L,0.0,,L,0.0,0.0,1319245282,0.0,Y,N
5959,11,1,41727788,13,3. Метални Елементи,Винкел ГВ 40/40/3,System - 90kW Volkswagen (59),M,6.725,L,0.0,L,0.0,M,6.72,L,0.0,L,0.0,,L,0.0,0.0,1319245282,12.0,Y,N
5959,12,1,41727788,14,3. Метални Елементи,Винкел ГВ 40/40/3,"Склад производство, 500kW",M,6.725,L,0.0,L,0.0,M,6.72,L,0.0,L,0.0,,L,0.0,0.0,1319245282,0.0,Y,N
5959,13,1,41429782,1,Сензори,Нивомер поплавъчен тип 8181,0. СКЛАД - ОСНОВЕН,M,87.74,L,0.0,L,0.0,M,87.92,L,0.0,L,0.0,,L,0.0,0.0,1319252342,6.0,Y,N
5959,14,1,41727788,15,Сензори,Нивомер поплавъчен тип 8181,,M,87.74,L,0.0,L,0.0,M,87.92,L,0.0,L,0.0,,L,0.0,0.0,1319252342,15.0,Y,N
5959,15,1,41727788,16,Сензори,Нивомер поплавъчен тип 8181,Склад,M,87.74,L,0.0,L,0.0,M,87.92,L,0.0,L,0.0,,L,0.0,0.0,1319252342,0.0,Y,N
5959,16,1,41727788,17,Сензори,Нивомер поплавъчен тип 8181,"Склад производство, 500kW",M,87.74,L,0.0,L,0.0,M,87.92,L,0.0,L,0.0,,L,0.0,0.0,1319252342,0.0,Y,N
