__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,PARAM,VAL,VAL1
1642,0,1,IS_AUDITOR_ADMIN,N,
1642,1,1,IS_AUDITOR_Одитор,Y,
1642,2,1,DB_VER,706,
1642,3,1,FIREBIRD_25_CONVERTED,Y,
1642,4,1,WEB_VER,77,
1642,5,1,DB_CREATE,06-08-2025,
1642,6,1,LastCheck_UpdateLocked,20260727,
1642,7,1,LastUsedKasa,Z,
1642,8,1,REMOTE_OFFICE,София,
1642,9,1,LESPY,20260804,
1642,10,1,MW_VER_IN_DB,2026-02-16,
1642,11,1,SinhronizeMode,2,
1642,12,1,LimitCash,0,
1642,13,1,SinhronizeModeSNEdro,N,
1642,14,1,SinhronizeModeSNDreb,N,
1642,15,1,LockBySOrder,Y,
1642,16,1,LockByTOrder,Y,
1642,17,1,LockByProdawa,Y,
1642,18,1,IsNumWeeks_ISO,N,
1642,19,1,DocMergeRows_0,N,
1642,20,1,DocMergeRows_1,N,
1642,21,1,DocMergeRows_2,N,
1642,22,1,DocMergeRows_3,N,
1642,23,1,DocMergeRows_4,N,
1642,24,1,DocMergeRows_5,N,
1642,25,1,DocMergeRows_6,N,
1642,26,1,DocMergeRows_7,N,
1642,27,1,DocMergeRows_8,N,
1642,28,1,SDM_0_Config_Name,0_Начална конфигурация,
1642,29,1,LastBackup,20260803,
1642,30,1,PASSBOOK_StFieldGrid_0_1,,
1642,31,1,PASSBOOK_StFieldGrid_1_1,,
1642,32,1,PASSBOOK_StFieldGrid_2_1,,
1642,33,1,PASSBOOK_StFieldGrid_3_1,,
1642,34,1,PASSBOOK_StFieldGrid_ROWCOUNT,2,
1642,35,1,PASSBOOK_DTFieldGrid_0_1,,
1642,36,1,PASSBOOK_DTFieldGrid_1_1,,
1642,37,1,PASSBOOK_DTFieldGrid_2_1,,
1642,38,1,PASSBOOK_DTFieldGrid_3_1,,
1642,39,1,PASSBOOK_DTFieldGrid_4_1,,
1642,40,1,PASSBOOK_DTFieldGrid_5_1,,
1642,41,1,PASSBOOK_DTFieldGrid_ROWCOUNT,2,
1642,42,1,PASSBOOK_NumFieldGrid_0_1,,
1642,43,1,PASSBOOK_NumFieldGrid_1_1,,
1642,44,1,PASSBOOK_NumFieldGrid_2_1,,
1642,45,1,PASSBOOK_NumFieldGrid_3_1,,
1642,46,1,PASSBOOK_NumFieldGrid_4_1,,
1642,47,1,PASSBOOK_NumFieldGrid_5_1,,
1642,48,1,PASSBOOK_NumFieldGrid_ROWCOUNT,2,
1642,49,1,PASSBOOK_AddressGrid_0_1,,
1642,50,1,PASSBOOK_AddressGrid_1_1,,
1642,51,1,PASSBOOK_AddressGrid_2_1,,
1642,52,1,PASSBOOK_AddressGrid_ROWCOUNT,2,
1642,53,1,EXPORT_GS1_PROPGS1ID,0,
1642,54,1,AverageSklads,,
1642,55,1,REMOTE_ACTIVE,Y,
1642,56,1,REMOTE_OFFICE_NO,2,
5662,0,1,AC_IsActive,N,
5662,1,1,AC_IsActiveBC,N,
5662,2,1,AC_IsActive2,N,
5662,3,1,AC_IsActive2BC,Y,
5662,4,1,AC_IsActive2St,N,
5662,5,1,AC_Prefix0,,
5662,6,1,AC_Digits0,1,
5662,7,1,AC_Suffix0,,
5662,8,1,AC_Prefix1,,
5662,9,1,AC_Digits1,1,
5662,10,1,AC_Suffix1,,
5662,11,1,AC_Prefix2,,
5662,12,1,AC_Digits2,1,
5662,13,1,AC_Suffix2,,
5662,14,1,AC_Prefix3,,
5662,15,1,AC_Digits3,1,
5662,16,1,AC_Suffix3,,
5662,17,1,AC_Prefix4,,
5662,18,1,AC_Digits4,8,
5662,19,1,AC_Suffix4,,
5662,20,1,AC_Prefix5,,
5662,21,1,AC_Digits5,8,
5662,22,1,AC_Suffix5,,
5662,23,1,AC_Prefix6,,
5662,24,1,AC_Digits6,8,
5662,25,1,AC_Suffix6,,
5662,26,1,AC_CheckEmpty,N,
5662,27,1,AC_CheckDoble,N,
5662,28,1,AC_CheckEmptyBC,N,
5662,29,1,AC_CheckDobleBC,Y,
5662,30,1,AC_CheckDobleSt,Y,
5662,31,1,AC_BegValue,1222022,
5662,32,1,AC_BegValueBC,1641,
5662,33,1,AC_BegValueSt,1,
5662,34,1,AC_FillEmpty,Y,
5662,35,1,LogSearchAct,Y,
5662,36,1,LogSearchLen,5,
5662,37,1,LogSearchDel,3,
5662,38,1,PrintDocs_Bay_Selected_Report,-1,
5662,39,1,PrintDocs_Bay_Subject,,
5662,40,1,PrintDocs_ObCh,N,
5662,41,1,PrintDocs_PrintCh,N,
5662,42,1,PrintDocs_MsgCh,N,
5662,43,1,IsDaysShema,N,
5662,44,1,MTRADE_RAZFAS_COUNT,0,
5662,45,1,asp_UserID.MWSystemUser,1506119363,
5662,46,1,asp_UserID.ADMIN,1509532409,
5662,47,1,asp_UserID.Yordan Markov,138988640,
5662,48,1,asp_UserIDsInitialized,Y,
5662,49,1,@LastCheck_CheckSkipLv,20260320,
5662,50,1,LastCheck_DeleteDocWithEmptyBody,20260320,
5662,51,1,WEB_VER_DATE,2026-02-12,
5662,52,1,138988640asp_BrowserStoki_Move,Kol,
5662,53,1,asp_FillUsers,Y,
5662,54,1,asp_RowsPerPage,20,
5662,55,1,asp_IsUpdatePossibleValues,N,
5662,56,1,asp_ShowCenaDrebnoDDS,N,
5662,57,1,asp_FilterLetterInPropBarcode,N,
5662,58,1,asp_SelectNewArticle,Y,
5662,59,1,asp_SpecDiscountOborot,N,
7030,0,1,asp_TakeBnbKurs,N,
7030,1,1,asp_WoPWinNameCh,N,
7030,2,1,asp_ShowTwoPricesCh,N,
7030,3,1,asp_AvailableConfirm,Y,
7030,4,1,asp_ShowStokaProps,N,
7030,5,1,asp_PropDnotConfirmID,,
7030,6,1,asp_ShowWebOrderStokaProps,N,
7030,7,1,asp_ShowDocumProps,N,
7030,8,1,asp_ShowRowsProps,N,
7030,9,1,asp_ShowFirmaProps,N,
7030,10,1,asp_DDS3006,20,
7030,11,1,asp_DDS,20,
7030,12,1,asp_MonPreciz,2,
7030,13,1,asp_MonPrecizMin,0,
7030,14,1,138988640asp_KolRecalc,N,
7030,15,1,asp_KolPreciz,2,
7030,16,1,asp_StokaFotoMaxSizeMode,Y,
7030,17,1,asp_StokaFotoMaxSize,320,
7030,18,1,asp_StokaFotoAutoSizeMode,Y,
7030,19,1,asp_StokaFotoAutoSize,320,
7030,20,1,asp_StokaFotoAutoThumbMode,Y,
7030,21,1,asp_StokaFotoAutoThumb,120,
7030,22,1,asp_PropLine,0,
7030,23,1,asp_GroupPropsSklad,0,
7030,24,1,asp_CanChangePropsInDoc,N,
7030,25,1,asp_ShowOnlyAvailableProps,N,
7030,26,1,asp_AverageCeni,1,
7030,27,1,asp_AverageCeniKupuwa,N,
7030,28,1,asp_AverageCeniMove,N,
7030,29,1,asp_AverageCeniBack,N,
7030,30,1,asp_AverageCeniProd,N,
7030,31,1,asp_AverageCeniChangeEdroCenaCh,N,
7030,32,1,asp_AverageCeniChangeDrebCenaCh,N,
7030,33,1,asp_AverageCeniSerNoCh,N,
7030,34,1,custom_IsOnlyInteger,N,
7030,35,1,asp_AdimeksNavigatorVatChangeFromDocument,N,
7030,36,1,asp_VetoArticleAdditionalInfo,N,
7030,37,1,asp_SkyOpticBlankBankCash,N,
7030,38,1,asp_PayInSaleSave,N,
7030,39,1,asp_NoToWarehouseInMove,N,
7030,40,1,asp_SkyOpticCantOrderFromWarehouseReadOnly,N,
7030,41,1,asp_AutoFacturSellCheckDublicates,N,
7030,42,1,asp_RowPropChangeDocProp,N,
7030,43,1,asp_NeededToUpdateRowProp,,
7030,44,1,asp_NeededToUpdateDocProp,,
7030,45,1,CashItemName,0,
7030,46,1,asp_CashItemNamePropId,,
7030,47,1,asp_CashUser,,
7030,48,1,asp_CashFacturCh,N,
7030,49,1,asp_CashTotalOborotCh,N,
7030,50,1,asp_CashStornoCh,N,
7030,51,1,asp_CashIsPrintId,,
7030,52,1,asp_IsTryAddOrRemoveLeadingZero,N,
7030,53,1,asp_IsBarcodeCaseInsensitive,N,
7030,54,1,asp_IsCardReader,N,
7032,0,1,asp_IsSpecKolichExists,N,
7032,1,1,asp_StatusPropInLocked,,
7032,2,1,asp_WordForQty,налично,
7032,3,1,asp_OrderColor.Browse,FACE2A,
7032,4,1,asp_OrderColor.NewOrChange,FFA500,
7032,5,1,asp_OrderColor.Old,FDF0BB,
7032,6,1,asp_OrderParamDefAllStokiCb,0,
7032,7,1,asp_OrderPriceCb,0,
7032,8,1,asp_OrderGrupaCh,Y,
7032,9,1,asp_OrderCodeCh,Y,
7032,10,1,asp_OrderBarcodeCh,Y,
7032,11,1,asp_OrderCenaCh,Y,
7032,12,1,asp_WholeNumbersCh,N,
7032,13,1,asp_OrderImageCh,Y,
7032,14,1,asp_OrderNoteCh,Y,
7032,15,1,asp_OrderShowFreeKolichCh,N,
7032,16,1,asp_ShowFreeKolichAsInfoCh,N,
7032,17,1,asp_Mail.IsActive,N,
7032,18,1,138988640asp_ValutDefIdx,1,
7032,19,1,138988640asp_DDS3006,,
7032,20,1,138988640asp_DDS,,
7032,21,1,138988640asp_DocNoGroup,A,
7032,22,1,138988640asp_IsCloseDocumentAfterPrint,N,
7032,23,1,138988640asp_CanSeeCeniEdro,Y,
7032,24,1,138988640asp_CanSeeCeniDreb,Y,
7032,25,1,138988640asp_IsSkladsNalich,N,
7032,26,1,138988640asp_IsPOrderSkladX,N,
7032,27,1,138988640asp_IsKupuwaSkladX,N,
7032,28,1,138988640asp_IsPOrderSklad1,N,
7032,29,1,138988640asp_IsTOrderKolich,N,
7032,30,1,138988640asp_IsTransferKolich,N,
7032,31,1,138988640asp_IsAssoc,N,
7032,32,1,138988640asp_IsLockedSklads,Y,
7032,33,1,138988640asp_IsLockedKolich,Y,
7032,34,1,138988640asp_IsLockedDocs,Y,
7032,35,1,138988640asp_IsPOrderKolich,Y,
7032,36,1,138988640asp_IsPOrderDocs,Y,
7032,37,1,138988640asp_IsStokaFotoEdit,N,
7032,38,1,138988640asp_SearchNoteToEnd,N,
7032,39,1,138988640asp_FacturBy,Грийн Иновейшън АД,
7032,40,1,138988640asp_AutoFactur,N,
7032,41,1,138988640asp_IsDefaultClientInBack,N,
7032,42,1,138988640asp_Market.UseTerm,0,
7032,43,1,138988640asp_Market.Pay2,N,
7032,44,1,138988640asp_AutoFirma,,
7032,45,1,138988640asp_KlientSklad,,
7032,46,1,138988640asp_KlientWopUse,N,
7032,47,1,138988640asp_KlientWopDDS,N,
7032,48,1,138988640asp_KlientWopType,N,
7032,49,1,138988640asp_KlientWopDays,30,
7032,50,1,138988640asp_KlientWopKB_ID,,
7032,51,1,138988640asp_AutoDostaw,,
7032,52,1,AvgAuto,Y,
7033,0,1,138988640asp_IsDefaultDostawInBack,N,
7033,1,1,138988640asp_AutoPrewoz,,
7033,2,1,138988640asp_RoundCena,0,
7033,3,1,138988640asp_ShowCenaEdroInDoc,N,
7033,4,1,138988640asp_ShowCenaDrebInDoc,N,
7033,5,1,138988640asp_AutoNew,N,
7033,6,1,138988640asp_AccessPeriod,A,
7033,7,1,138988640asp_AutoSelectSerNo,N,
7033,8,1,138988640asp_IsCeniLast,N,
7033,9,1,138988640asp_ShowRowStatusSO,N,
7033,10,1,138988640asp_ShowRowStatusPO,N,
7033,11,1,138988640asp_ShowRowStatusTO,N,
7033,12,1,138988640asp_ShowRowStatusLO,N,
7033,13,1,138988640asp_ShowRowStatusOF,N,
7033,14,1,138988640asp_RealKolichSell,Y,
7033,15,1,138988640asp_RealKolichKup,Y,
7033,16,1,138988640asp_RealKolichBack,Y,
7033,17,1,138988640asp_IsBarcodeReader,Y,
7033,18,1,138988640asp_IsBarCodeMobile,N,
7033,19,1,138988640asp_IsAlternativeOrder,N,
7033,20,1,138988640asp_ValidDatePeriod,30,
7033,21,1,138988640asp_IsSaveLastReturnWarehouse,N,
7033,22,1,138988640asp_IsShowPaidMoneyColumn,N,
7033,23,1,138988640asp_IsShowColumnPriceWithVATinOrder,N,
7033,24,1,138988640asp_IsWebShop,N,
7033,25,1,138988640asp_IsWebShopV2,N,
7033,26,1,138988640asp_IsWebShopCE,N,
7033,27,1,138988640asp_WebShopCatID,,
7033,28,1,asp_WebShopPropDnC,,
7033,29,1,asp_WebShopMatrixPropX,,
7033,30,1,138988640asp_SelectPropAdditionalClientNoteInCart,,
7033,31,1,asp_WebShopMatrixPropY,,
7033,32,1,asp_WebShopMatrixPropAdd,,
7033,33,1,asp_WebShopMatrixPropDeg,,
7033,34,1,asp_IsWebShopShowDDS,N,
7033,35,1,138988640asp_IsWebShopShowPrice,Y,
7033,36,1,138988640asp_IsPriceDiscountRabat,N,
7033,37,1,138988640asp_IsBasicPriceShown,N,
7033,38,1,138988640asp_IsStockQuantityShown,N,
7033,39,1,138988640asp_ShowDiscountColumn,Y,
7033,40,1,138988640asp_ShowTotalArticlePriceColumn,Y,
7033,41,1,138988640asp_ShowAvailableSerNos,N,
7033,42,1,138988640asp_ShowReservedBtnInCart,N,
7033,43,1,138988640asp_IsDiscountColumnShownInCart,N,
7033,44,1,138988640asp_BestamedQuantities,,
7033,45,1,138988640asp_ShowSecondName,N,
7033,46,1,138988640asp_ShowZonaGasArticleCode,N,
7033,47,1,138988640asp_ShowSerNoQuantity,N,
7033,48,1,138988640asp_ShowSaveButtonInCart,N,
7033,49,1,138988640asp_ShowBatch,T,
7034,0,1,138988640asp_AdvertisementArticle,(всички),
7034,1,1,138988640asp_ShowMaskaMatrix,N,
7034,2,1,138988640asp_ShowDeliveryAddressInCart,N,
7034,3,1,138988640asp_IsWebShopShowBasePrice,N,
7034,4,1,138988640asp_ShowArticleExpectedQuantity,N,
7034,5,1,138988640asp_KancelarskiLogicForEndingOrder,N,
7034,6,1,138988640asp_ShowClientPaymentType,N,
7034,7,1,138988640asp_ShowSecondMetric,N,
7034,8,1,138988640asp_ShowAdditionalInfoTextAreaInCart,N,
7034,9,1,138988640asp_WebShopUseMainPrices,N,
7034,10,1,138988640asp_ProduceAndSell,N,
7034,11,1,138988640asp_SellStokaSpec,N,
7034,12,1,138988640asp_Uniglass_KalyfID,,
7034,13,1,138988640asp_Uniglass_KyrpaID,,
7034,14,1,138988640asp_Uniglass_PlikID,,
7034,15,1,138988640asp_Uniglass_WarrantyCardID,,
7034,16,1,138988640asp_Uniglass_WarantyCardArticle,(всички),
7034,17,1,asp_Uniglass_NotificationDays,1,
7034,18,1,asp_Uniglass_NotNotificationTransfer,,
7034,19,1,138988640asp_Vitek_SummerySellAccessOnly,N,
7034,20,1,138988640asp_IsDataBuffer,N,
7034,21,1,138988640asp_DiscMSKolich,N,
7034,22,1,138988640asp_BegEndSaldoStatMoney,Y,
7034,23,1,138988640asp_ShowProfitInSale,N,
7034,24,1,138988640asp_UseComplexBC,N,
7034,25,1,138988640asp_kolCial,,
7034,26,1,138988640asp_kolPartida,,
7034,27,1,138988640asp_kolNoneLf,,
7034,28,1,138988640asp_kolNoneRgTeg,,
7034,29,1,138988640asp_kolNoneRg,,
7034,30,1,138988640asp_kolDrob,,
7034,31,1,asp_ShowDeliveryInProduct,Y,
7034,32,1,asp_ShowDescriptionInProduct,Y,
7034,33,1,asp_ShowPropsInProduct,Y,
7034,34,1,asp_PriceListsDD,,
7034,35,1,138988640asp_CategoriesPriceList,,
7034,36,1,138988640asp_PriceListsTT,,
7034,37,1,asp_QtyWithWords,N,
7034,38,1,asp_NoQtyInfo,Доставка до 3-6 седмици,
7034,39,1,asp_NoQtyWithProps,N,
7034,40,1,asp_NoQtyWithWords,Y,
7034,41,1,asp_WebShopPropIDWithoutQty,,
7034,42,1,asp_ShowMorePictures,N,
7034,43,1,asp_SearchInStoka,N,
7034,44,1,asp_NumPropFilter,3,
7034,45,1,asp_HideFilterSubMenu,N,
7034,46,1,asp_FilterAsRadioButtons,N,
7034,47,1,asp_ShowHideAvailableItems,N,
7034,48,1,asp_HideBasePrice,N,
7034,49,1,asp_HideOrderColumns,N,
7034,50,1,138988640asp_ShowFreeDeliveryPriceInCart,N,
7037,0,1,138988640asp_FreeDeliveryPrice,0,
7037,1,1,asp_SortPrice,Y,
7037,2,1,asp_SortPriceBase,Y,
7037,3,1,asp_SortPriceFull,N,
7037,4,1,asp_SortPriceBaseDD,Цени на дребно,
7037,5,1,asp_IsUseMultiCatalogues,N,
7037,6,1,asp_IsUseMultiCataloguesForUser,N,
7037,7,1,asp_VisualChangesGalti,N,
7037,8,1,asp_ShowPhoneNumberLogo,N,
7037,9,1,asp_PhoneNumberLogo,,
7037,10,1,asp_SearchInProp,N,
7037,11,1,asp_PropIDForSearch,,
7037,12,1,138988640asp_IsWebShopShowDDSByUser,N,
7037,13,1,138988640asp_IsConvertBaseValutsForPrice,N,
7037,14,1,asp_IsNotLockedK2,N,
7037,15,1,asp_IsWarehousesQuantity,N,
7037,16,1,asp_HideOrderBatchColumn,N,
7037,17,1,asp_SearchInCategoryName,Y,
7037,18,1,asp_SearchInCategoryCode,Y,
7037,19,1,asp_SearchInCategoryDescription,Y,
7037,20,1,asp_SearchInFirstProductName,Y,
7037,21,1,asp_SearchInSecondProductName,Y,
7037,22,1,asp_SearchInDescription,Y,
7037,23,1,asp_SearchInCode,Y,
7037,24,1,asp_SearchInBarcode,Y,
7037,25,1,asp_SearchInNote,Y,
7037,26,1,asp_SearchInNote2,Y,
7037,27,1,asp_TableCode,WIN1251,
7037,28,1,asp_IltexFilterProp,N,
7037,29,1,asp_IsNotRevesrveInCart,N,
7037,30,1,asp_IsChangeQuantityFilter,N,
7037,31,1,asp_IsAdditionalQuantityInCart,N,
7037,32,1,asp_IsWarehouseDeliveryProp,N,
7037,33,1,asp_WarehouseDeliveryProp,,
7037,34,1,asp_IsShowProductCodeInProductPages,N,
7037,35,1,asp_IsWarningForArticleAlreadyInCart,N,
7037,36,1,asp_IsDeliveryMessageProp,N,
7037,37,1,asp_DeliveryMessageProp,,
7037,38,1,asp_ActivateAdditionalWoP,N,
7037,39,1,asp_IsDDSFirstWoP,N,
7037,40,1,asp_TypeFirstWoP,N,
7037,41,1,asp_DaysFirstWoP,30,
7037,42,1,asp_FirstWoP,,
7037,43,1,asp_VisualNameFirstWoP,,
7037,44,1,asp_IsDDSSecondWoP,N,
7037,45,1,asp_TypeSecondWoP,N,
7037,46,1,asp_DaysSecondWoP,30,
7037,47,1,asp_SecondWoP,,
7037,48,1,asp_VisualNameSecondWoP,,
7037,49,1,asp_IsShowWeight,N,
7037,50,1,asp_IsAngroPriceLists,N,
7037,51,1,asp_IsActiveFilterByArticles,N,
7037,52,1,asp_IsOpenLastOrder,N,
7037,53,1,AvgMode,1,
7038,0,1,asp_IsInvoiceBtnVisible,N,
7038,1,1,asp_IsInvoiceSellBtnVisible,N,
7038,2,1,asp_ShablonList,,
7038,3,1,asp_SellShablonList,,
7038,4,1,asp_IsSortedByFollowNum,N,
7038,5,1,asp_IsDimovConfig,N,
7038,6,1,138988640asp_DefaultTaskTimeAmount,7,
7038,7,1,138988640asp_DefaultTaskTimeUnit,0,
7038,8,1,138988640asp_DefaultTaskDetailsView,0,
7038,9,1,138988640asp_IsDefaultFilterUsersFromMe,N,
7038,10,1,138988640asp_DefaultReportTimeAmount,1,
7038,11,1,138988640asp_DefaultReportTimeUnit,1,
7038,12,1,138988640asp_DefaultReportDetailsView,0,
7038,13,1,138988640asp_DefaultNotification,0,
7038,14,1,138988640asp_DefaultEnforcerType,M,
7038,15,1,138988640asp_DefaultCompanyType,K,
7038,16,1,138988640asp_DefaultArticleSelection,0,
7038,17,1,138988640asp_IsEnforcerTaskDoneNotification,N,
7038,18,1,138988640asp_IsOwnerTaskDoneNotification,N,
7038,19,1,138988640asp_MandFactur_0,N,
7038,20,1,138988640asp_MandSignBy_0,N,
7038,21,1,TecDocIgiWarehouse,,
7038,22,1,138988640asp_Browser.ObjFilter_Move,SerNo,
7038,23,1,AvgSerNo,N,
7038,24,1,AvgCena1,Y,
7038,25,1,AvgCena2,Y,
7038,26,1,AvgCena3,Y,
7038,27,1,OsnValut,N,
7038,28,1,AvgRnd1,Y,
7038,29,1,AvgAutoKup,N,
7038,30,1,AvgAutoMove,N,
7038,31,1,AvgAutoBack,N,
7038,32,1,SerNoOffer,N,
7038,33,1,SerNoPOffer,N,
7038,34,1,SerNoLocked,N,
7038,35,1,SerNoSOrder,N,
7038,36,1,SerNoPOrder,N,
7038,37,1,SerNoTOrder,N,
7038,38,1,SerNoPlan,N,
7038,39,1,138988640asp_LAST_DATE_Oborot1,02-02-2026 0:00:00,
7038,40,1,138988640asp_StatFilter.ShowOborot.St00,N,
7038,41,1,138988640asp_StatFilter.ShowOborot.St16,N,
7038,42,1,138988640asp_StatFilter.ShowOborot.St01,N,
7038,43,1,138988640asp_StatFilter.ShowOborot.St02,N,
7038,44,1,138988640asp_StatFilter.ShowOborot.St14,Y,
7038,45,1,138988640asp_StatFilter.ShowOborot.St03,N,
7038,46,1,138988640asp_StatFilter.ShowOborot.St13,N,
7038,47,1,138988640asp_StatFilter.ShowOborot.St17,N,
7038,48,1,138988640asp_StatFilter.ShowOborot.St04,N,
7038,49,1,138988640asp_StatFilter.ShowOborot.St05,N,
7038,50,1,138988640asp_StatFilter.ShowOborot.St15,N,
7051,0,1,138988640asp_StatFilter.ShowOborot.St08,Y,
7051,1,1,138988640asp_StatFilter.ShowOborot.St09,Y,
7051,2,1,138988640asp_StatFilter.ShowOborot.St10,Y,
7051,3,1,138988640asp_StatFilter.ShowOborot.St11,Y,
7051,4,1,138988640asp_StatFilter.ShowOborot.St07,N,
7051,5,1,138988640asp_StatFilter.ShowOborot.St24,N,
7051,6,1,138988640asp_StatFilter.ShowOborot.St26,N,
7051,7,1,138988640asp_StatFilter.ShowOborot.St31,N,
7051,8,1,138988640asp_StatFilter.ShowOborot.St32,N,
7051,9,1,138988640asp_StatFilter.ShowOborot.St19,N,
7051,10,1,138988640asp_StatFilter.ShowOborot.St28,N,
7051,11,1,138988640asp_StatFilter.ShowOborot.St22,N,
7051,12,1,138988640asp_StatFilter.ShowOborot.St20,N,
7051,13,1,138988640asp_StatFilter.ShowOborot.St21,N,
7051,14,1,138988640asp_StatFilter.ShowOborot.St23,N,
7051,15,1,138988640asp_StatFilter.ShowOborot.CashCh,Y,
7051,16,1,138988640asp_StatFilter.ShowOborot.KonsigCh,Y,
7051,17,1,138988640asp_StatFilter.ShowOborot.EndDateCh,Y,
7051,18,1,138988640asp_StatFilter.ShowOborot.BankCh,Y,
7051,19,1,138988640asp_StatFilter.ShowOborot.KonTypeTCh,Y,
7051,20,1,138988640asp_StatFilter.ShowOborot.KonTypeDCh,Y,
7051,21,1,138988640asp_StatFilter.ShowOborot.GiftCh,Y,
7051,22,1,138988640asp_StatFilter.ShowOborot.SysDDSCh,Y,
7051,23,1,138988640asp_StatFilter.ShowOborot.BezDDSCh,Y,
7051,24,1,138988640asp_StatFilter.ShowOborot.CloseCh,Y,
7051,25,1,138988640asp_StatFilter.ShowOborot.OpenCh,Y,
7051,26,1,138988640asp_StatFilter.ShowOborot.FacturCh,Y,
7051,27,1,138988640asp_StatFilter.ShowOborot.KasovBonCh,Y,
7051,28,1,138988640asp_StatFilter.ShowOborot.NothingCh,Y,
7051,29,1,138988640asp_StatFilter.ShowOborot.DDSCb,With,
7051,30,1,138988640asp_StatFilter.ShowOborot.MoneyCurrencyCb,Original,
7051,31,1,138988640asp_StatFilter.ShowOborot.DiscountCb,None,
7051,32,1,138988640asp_StatFilter.ShowOborot.RewiziaCb,1,
7051,33,1,138988640Browser.IsActiveAllCh,N,
7051,34,1,JOURNAL_ACTIVATECH,Y,
7051,35,1,JOURNAL_SROK,365,
7051,36,1,JOURNAL_CH_0,Y,
7051,37,1,JOURNAL_CH_1,Y,
7051,38,1,JOURNAL_CH_2,Y,
7051,39,1,JOURNAL_CH_3,Y,
7051,40,1,JOURNAL_CH_4,Y,
7051,41,1,JOURNAL_CH_5,Y,
7051,42,1,asp_UserID.Гост,1594398081,
7051,43,1,1594398081asp_FrDateBtn,30-12-1899 0:00:00,
7051,44,1,1594398081asp_ToDateBtn,30-12-1899 0:00:00,
9335,0,1,LOCKPERIOD_CHECK_FACTUR,Y,
