__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CHANGED,SKLAD,CODE,ADDR,MOL,DEF_FIRMA,NOTE,PROPS_SKLAD,TIP,CENA_KUP_WITH_DDS,CENA_EDRO_WITH_DDS,CENA_DREB_WITH_DDS,DDS_SKLAD,CD_DUTY_LIMIT,FOLLOW_NUM,DEF_KASA,DEF_BANK
1715,0,1,1300161340,Склад,,,,,,,N,N,N,N,,,1.0,-1,-1
1715,1,1,1300248170,"Склад производство, 500kW",,,,,,,N,N,N,N,,,5.0,-1,-1
1715,2,1,1302154126,"Склад 3, 10/30kW",,,,,,,N,N,N,N,,,3.0,-1,-1
1715,3,1,1302154579,2. МЕТАЛХИДРИД,,,,,,,N,N,N,N,,,6.0,-1,-1
1715,4,1,1305235832,Суровини,,,,,,,N,N,N,N,,,7.0,-1,-1
1715,5,1,1305740883,Неактивен 2,,,,,,,N,N,N,N,,,4.0,-1,-1
1715,6,1,1307850149,Неактивен 3,,,,,,,N,N,N,N,,,2.0,-1,-1
1715,7,1,1309146122,Услуги,,,,,,,N,N,N,N,,,0.0,-1,-1
1715,8,1,1309341490,System - 90kW Volkswagen (59),,,,,,,N,N,N,N,,,0.0,-1,-1
1715,9,1,1309830057,System - 10kW Italy,,,,,,,N,N,N,N,,,0.0,-1,-1
1715,10,1,1310657272,Неактивен 1,,,,,,,N,N,N,N,,,0.0,-1,-1
1715,11,1,1331559647,System - Украйна,,,,,,,N,N,N,N,,,0.0,-1,-1
1715,12,1,1316141593,System - 500kW Titan Zlatna Panega (58),,,,,,,N,N,N,N,,,0.0,-1,-1
1715,14,1,1316351701,0. СКЛАД - ОСНОВЕН,,Михаил Тенев 12,Драгомир Иванов,Грийн Иновейшън АД,Пробен за целите на организацията,,N,N,N,N,,,0.0,-1,-1
1715,15,1,1316435477,System - 60kW Brikel (60),,,,,,,N,N,N,N,,,0.0,-1,-1
1715,16,1,1319061637,Цех,,,,,"В този склад се прехвърлят материали вложени в оптимизация на халетата, но не и в машини.",,N,N,N,N,,,0.0,-1,-1
1715,20,1,1325240810,System - 20kW Warsaw,,,,,,,N,N,N,N,,,0.0,-1,-1
1715,22,1,1331559325,3. ПРОИЗВОДСТВО,,,,,,,N,N,N,N,,,0.0,-1,-1
1715,23,1,1328136606,System - 30KW ЦЕХ,,,,,,,N,N,N,N,,,0.0,-1,-1
1715,24,1,1331543819,1. СКЛАД - Ford Transit,,,,,,,N,N,N,N,,,0.0,-1,-1
