__SOURCE_PAGE,__SOURCE_LINE,__RECORD_FORMAT,DT_CHANGED,SKLAD,GRUPA,STOKA,VALUTA_KUP,VALUTA_PROD_ED,VALUTA_PROD_DR,CENA_KUP,CENA_PROD_ED1,CENA_PROD_DR1,KOLICH,KOLICH2,MIN_KOLICH,MAX_KOLICH,STOCK_POSITION,PROPS,NOTE,KOLICH_LOCKED,KOLICH_LOCKED2,DATA_CHANGED,KOLICH_CHANGED,IS_BLOCKED,IS_RESTRICT,S_DOSTAW
1716,1,1,1317551237,Склад,М/Ж резба,Преход 316L резба М/Ж 1/2“х1/4“,M,L,L,0.83,0.0,0.0,0.0,0.0,1.0,2.0,,|1—преход м/ж|2—1/2х1/4|5—склад|,,0.0,0.0,2026-01-27 14:15:15.073,2026-01-27 14:15:15.073,N,0,
1716,3,1,1318941199,Склад,М/Ж резба,Преход 316L резба М/Ж 3/4“х1/4“,M,L,L,3.53,0.0,0.0,0.0,0.0,1.0,2.0,,|1—преход м/ж|2—3/4х1/4|5—склад|,,0.0,0.0,2026-02-10 09:53:16.762,2026-01-16 12:20:44.303,N,0,
1716,5,1,1322341702,Склад,М/Ж резба,Преход 316L резба М/Ж 3/4“х1/2“,M,L,L,1.14,0.0,0.0,0.0,0.0,1.0,2.0,,|1—преход м/ж|2—3/4х1/2|5—склад|,,0.0,0.0,2026-03-16 10:00:30.816,2026-01-27 14:15:22.307,N,0,
1716,7,1,1317763171,Склад,М/Ж резба,Преход 316L резба М/Ж 1“х1/2“,M,L,L,1.789515,0.0,0.0,0.0,0.0,1.0,2.0,,|1—преход м/ж|2—1х1/2|5—склад|,,0.0,0.0,2026-01-29 15:09:40.574,2026-01-27 14:15:29.443,N,0,
1716,9,1,1322341737,Склад,М/Ж резба,Преход 316L резба М/Ж 1 1/2“х1/2“,M,L,L,4.05,0.0,0.0,0.0,0.0,1.0,2.0,,|1—преход м/ж|2—1 1/2х1/2|5—склад|,,0.0,0.0,2026-03-16 10:01:00.462,2026-01-27 14:15:34.714,N,0,
1716,11,1,1322341666,Склад,2.2. Фитинги за заваряване,Полунипел 316L 150LBS 1/4“,M,L,L,0.72,0.0,0.0,0.0,0.0,1.0,2.0,,|1—полунипел|2—1/4`|5—склад|,,0.0,0.0,2026-03-16 09:59:59.037,2026-01-27 14:14:06.013,N,0,
1716,13,1,1331736506,Склад,2.2. Фитинги за заваряване,Полунипел 316L 150LBS 1/2“,M,L,L,0.79,0.0,0.0,0.0,0.0,1.0,2.0,,|1—полунипел|2—1/2`|5—склад|,,0.0,0.0,2026-06-18 08:45:41.643,2026-01-27 14:14:13.450,N,0,
1716,15,1,1319639456,Склад,2.2. Фитинги за заваряване,Полунипел 316L 150LBS 1“,M,L,L,1.29,0.0,0.0,0.0,0.0,1.0,2.0,,|1—полунипел|2—1`|5—склад|,,0.0,0.0,2026-02-17 09:28:10.005,2026-01-27 14:14:22.196,N,0,
1716,17,1,1316438007,Склад,2.2. Фитинги за заваряване,Полунипел 316L 150LBS 1 1/2“,M,L,L,2.766079,0.0,0.0,0.0,0.0,1.0,2.0,,|1—полунипел|2—1 1/2`|5—склад|,,0.0,0.0,2026-01-16 09:17:06.774,2026-01-16 09:17:06.774,N,0,
1716,19,1,1322341403,Склад,Външна резба,Нипел намалител 316L 150LBS 1/4“х1/8“,M,L,L,0.64,0.0,0.0,0.0,0.0,1.0,2.0,,|1—нипел намалител|2—1/4х1/8|5—склад|,,0.0,0.0,2026-03-16 09:56:13.044,2026-01-27 14:12:24.246,N,0,
1716,21,1,1322341317,Склад,Външна резба,Нипел намалител 316L 150LBS 1/2“х1/4“,M,L,L,1.16,0.0,0.0,0.0,0.0,10.0,10.0,,|1—нипел намалител|2—1/2х1/4|5—склад|,,0.0,0.0,2026-03-16 09:54:58.014,2026-02-03 09:18:36.936,N,0,
1716,23,1,1322341357,Склад,Външна резба,Нипел намалител 316L 150LBS 1/2“х3/8“,M,L,L,1.2,0.0,0.0,0.0,0.0,10.0,10.0,,|1—нипел намалител|2—1/2х3/8|5—склад|,,0.0,0.0,2026-03-16 09:55:33.105,2026-01-27 14:12:35.511,N,0,
1716,25,1,1322341232,Склад,Външна резба,Нипел намалител 316L 150LBS 3/4“х1/2“,M,L,L,1.68,0.0,0.0,0.0,0.0,1.0,2.0,,|1—нипел намалител|2—3/4х1/2|5—склад|,,0.0,0.0,2026-03-16 09:53:45.628,2026-01-27 14:12:41.713,N,0,
1716,27,1,1318463471,Склад,Външна резба,Нипел намалител 316L 150LBS 1“х1/2“,M,L,L,3.09,0.0,0.0,0.0,0.0,5.0,5.0,,|1—нипел намалител|2—1х1/2|5—склад|,,0.0,0.0,2026-02-05 15:13:59.261,2026-01-27 14:12:48.494,N,0,
1716,29,1,1322341446,Склад,Външна резба,Нипел намалител 316L 150LBS 2“х1“,M,L,L,6.97,0.0,0.0,0.0,0.0,1.0,2.0,,|1—нипел намалител|2—2х1|5—склад|,,0.0,0.0,2026-03-16 09:56:49.314,2026-01-27 14:12:54.572,N,0,
1716,31,1,1322341465,Склад,Външна резба,Нипел намалител 316L 150LBS 2“х1 1/4“,M,L,L,6.77,0.0,0.0,0.0,0.0,1.0,2.0,,|1—нипел намалител|2—2х1 1/4|5—склад|,,0.0,0.0,2026-03-16 09:57:06.282,2026-01-27 14:13:00.618,N,0,
1716,33,1,1316451329,Склад,Нипели на резба,Нипел шест. 316L резба 150LBS 1/4“,M,L,L,0.7822739999999999,0.0,0.0,0.0,0.0,1.0,2.0,,|1—нипел шестостен|2—1/4`|5—склад|,,0.0,0.0,2026-01-16 12:21:45.798,2026-01-16 12:21:45.798,N,0,
1716,35,1,1317460821,Склад,Нипели на резба,Нипел шест. 316L резба 150LBS 1/2“,M,L,L,2.055386,0.0,0.0,0.0,0.0,10.0,10.0,,|1—нипел шестостен|2—1/2`|5—склад|,,0.0,0.0,2026-01-27 14:13:25.913,2026-01-27 14:13:25.913,N,0,
1716,37,1,1316451283,Склад,Нипели на резба,Нипел шест. 316L резба 150LBS 1“,M,L,L,3.2620299999999998,0.0,0.0,0.0,0.0,1.0,2.0,,|1—нипел шестостен|2—1`|5—склад|,,0.0,0.0,2026-01-16 12:21:40.486,2026-01-16 12:21:40.486,N,0,
1717,0,1,1320962449,Склад,Нипели на резба,Нипел шест. 316L резба 150LBS 1 1/2“,M,L,L,4.294851802048235,0.0,0.0,0.0,0.0,1.0,2.0,,|1—нипел шестостен|2—1 1/2`|5—склад|,,0.0,0.0,2026-03-02 14:59:16.177,2025-08-06 14:43:51.141,N,0,
1717,2,1,1322341582,Склад,Нипели на резба,Нипел шест. 316L резба 150LBS 2“,M,L,L,27.64,0.0,0.0,0.0,0.0,1.0,2.0,,|1—нипел шестостен|2—2`|5—склад|,,0.0,0.0,2026-03-16 09:58:47.374,2026-01-27 14:13:07.946,N,0,
1717,4,1,1320962449,Склад,Вътрешна резба,Преход 316L резба вътрешна 150LBS 3/8“х1/4“,M,L,L,0.9612287366488907,0.0,0.0,0.0,0.0,1.0,2.0,,|1—муфа намалител|2—3/8х1/4|5—склад|,,0.0,0.0,2026-03-02 14:59:16.224,2026-01-27 14:11:49.453,N,0,
1717,6,1,1322341132,Склад,Вътрешна резба,Преход 316L резба вътрешна 150LBS 1/2“х1/8“,M,L,L,2.04,0.0,0.0,0.0,0.0,5.0,5.0,,|1—муфа намалител|2—1/2х1/8|5—склад|,,0.0,0.0,2026-03-16 09:52:18.076,2026-01-27 14:12:18.856,N,0,
1717,8,1,1322340958,Склад,Вътрешна резба,Преход 316L резба вътрешна 150LBS 1/2“х1/4“,M,L,L,1.5,0.0,0.0,0.0,0.0,10.0,10.0,,|1—муфа намалител|2—1/2х1/4|5—склад|,,0.0,0.0,2026-03-16 09:49:47.982,2026-01-27 14:11:55.809,N,0,
1717,10,1,1322341195,Склад,Вътрешна резба,Преход 316L резба вътрешна 150LBS 3/4“х1/2“,M,L,L,1.72,0.0,0.0,0.0,0.0,1.0,2.0,,|1—муфа намалител|2—3/4х1/2|5—склад|,,0.0,0.0,2026-03-16 09:53:12.922,2026-01-27 14:12:00.966,N,0,
1717,12,1,1322341156,Склад,Вътрешна резба,Преход 316L резба вътрешна 150LBS 1“х1/2“,M,L,L,4.22,0.0,0.0,0.0,0.0,1.0,2.0,,|1—муфа намалител|2—1х1/2|5—склад|,,0.0,0.0,2026-03-16 09:52:39.403,2026-01-27 14:12:07.263,N,0,
1717,14,1,1322340832,Склад,Вътрешна резба,Преход 316L резба вътрешна 150LBS 2“х1 1/2“,M,L,L,13.43,0.0,0.0,0.0,0.0,1.0,2.0,,|1—муфа намалител|2—2х1 1/2|5—склад|,,0.0,0.0,2026-03-16 09:47:58.465,2026-01-27 14:12:12.637,N,0,
1717,16,1,1316451263,Склад,Муфи на резба,Муфа 316L резба 150LBS 1/4“,M,L,L,0.7669349999999999,0.0,0.0,0.0,0.0,1.0,2.0,,|1—муфа вътр. резба|2—1/4`|5—склад|,,0.0,0.0,2026-01-16 12:21:29.346,2026-01-16 12:21:29.346,N,0,
1717,18,1,1316451272,Склад,Муфи на резба,Муфа 316L резба 150LBS 1/2“,M,L,L,1.840644,0.0,0.0,0.0,0.0,1.0,2.0,,|1—муфа вътр. резба|2—1/2`|5—склад|,,0.0,0.0,2026-01-16 12:21:34.752,2026-01-16 12:21:34.752,N,0,
1717,20,1,1322340785,Склад,Муфи на резба,Муфа 316L резба 150LBS 3/4“,M,L,L,1.7,0.0,0.0,0.0,0.0,1.0,2.0,,|1—муфа вътр. резба|2—3/4`|5—склад|,,0.0,0.0,2026-03-16 09:47:18.415,2026-01-27 14:11:40.406,N,0,
1717,22,1,1322339723,Склад,Колена на резба,Коляно 90° 316L резба вътрешна 1/4“,M,L,L,0.8,0.0,0.0,0.0,0.0,1.0,2.0,,|1—коляно 90гр. вътр. резба|2—1/4`|5—склад|,,0.0,0.0,2026-03-16 09:32:01.924,2026-01-27 14:10:43.094,N,0,
1717,24,1,1322339750,Склад,Колена на резба,Коляно 90° 316L резба вътрешна 1/2“,M,L,L,1.34,0.0,0.0,0.0,0.0,1.0,2.0,,|1—коляно 90гр. вътр. резба|2—1/2`|5—склад|,,0.0,0.0,2026-03-16 09:32:24.500,2026-01-27 14:10:25.657,N,0,
1717,26,1,1322339676,Склад,Колена на резба,Коляно 90° 316L резба вътрешна 3/4“,M,L,L,1.98,0.0,0.0,0.0,0.0,1.0,2.0,,|1—коляно 90гр. вътр. резба|2—3/4`|5—склад|,,0.0,0.0,2026-03-16 09:31:20.390,2026-01-27 14:10:32.532,N,0,
1717,28,1,1317462701,Склад,Колена на резба,Коляно 90° 316L резба вътрешна 1“,M,L,L,2.991047,0.0,0.0,0.0,0.0,7.0,7.0,,|1—коляно 90гр. вътр. резба|2—1`|5—склад|,,0.0,0.0,2026-01-27 14:10:48.953,2026-01-27 14:10:48.953,N,0,
1717,30,1,1320962449,Склад,Колена на резба,Коляно 90° 316L резба вътрешна 1 1/2“,M,L,L,4.765240332748756,0.0,0.0,0.0,0.0,1.0,2.0,,|1—коляно 90гр. вътр. резба|2—1 1/2`|5—склад|,,0.0,0.0,2026-03-02 14:59:16.427,2025-08-06 14:43:51.141,N,0,
1717,32,1,1322339962,Склад,Колена на резба,Коляно 90° 316L резба М/Ж 1/4“,M,L,L,1.9,0.0,0.0,0.0,0.0,10.0,10.0,,|1—коляно 90гр. вътр./вън. резба|2—1/4`|5—склад|,,0.0,0.0,2026-03-16 09:35:27.479,2026-01-27 14:11:00.624,N,0,
1717,34,1,1317535144,Склад,Колена на резба,Коляно 90° 316L резба М/Ж 1/2“,M,L,L,1.9991439999999998,0.0,0.0,0.0,0.0,1.0,2.0,,|1—коляно 90гр. вътр./вън. резба|2—1/2`|5—склад|,,0.0,0.0,2026-01-28 13:40:12.568,2026-01-28 13:40:12.568,N,0,
1717,36,1,1322339647,Склад,Колена на резба,Коляно 45° 316L резба вътрешна 150LBS 1/2“,M,L,L,1.45,0.0,0.0,0.0,0.0,1.0,2.0,,|1—коляно 45гр. вътр. резба|2—1/2`|5—склад|,,0.0,0.0,2026-03-16 09:30:55.157,2026-01-27 14:07:46.916,N,0,
1718,0,1,1320962450,Склад,Колена на резба,Коляно 45° 316L резба вътрешна 150LBS 1 1/2“,M,L,L,9.254383049651555,0.0,0.0,0.0,0.0,1.0,2.0,,|1—коляно 45гр. вътр. резба|2—1 1/2`|5—склад|,,0.0,0.0,2026-03-02 14:59:16.458,2025-08-06 14:43:51.141,N,0,
1718,2,1,1322342256,Склад,Холендри на резба,Холендър 316L резба М/Ж 150LBS 1 1/2“,M,L,L,19.65,0.0,0.0,0.0,0.0,1.0,2.0,,|1—холендер вътр./вън. резба|2—1.5|5—склад|,,0.0,0.0,2026-03-16 10:08:29.781,2026-01-27 14:17:34.442,N,0,
1718,4,1,1322342301,Склад,Холендри на резба,Холендър 316L резба М/Ж 150LBS 2“,M,L,L,27.3,0.0,0.0,0.0,0.0,1.0,2.0,,|1—холендер вътр./вън. резба|2—2`|5—склад|,,0.0,0.0,2026-03-16 10:09:08.541,2026-01-27 14:17:40.364,N,0,
1718,6,1,1316451378,Склад,Холендри на резба,Холендър 316L резба вътрешна 3000LBS 1/2“,M,L,L,3.5483529999999996,0.0,0.0,0.0,0.0,1.0,2.0,,|1—холендер вътр. резба|2—1/2`|5—склад|,,0.0,0.0,2026-01-28 13:40:12.583,2026-01-28 13:40:12.583,N,0,
1718,8,1,1320962450,Склад,Холендри на резба,Холендър 316L резба вътрешна 3000LBS 1“,M,L,L,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,|1—холендер вътр. резба|2—1`|5—склад|,,0.0,0.0,2026-03-02 14:59:16.536,2025-08-06 14:43:51.141,N,0,
1718,10,1,1322342336,Склад,Холендри на резба,Холендър 316L резба вътрешна PTFE 150LBS 1 1/2“,M,L,L,17.14,0.0,0.0,0.0,0.0,1.0,2.0,,|1—холендер с PTFE|2—1.5|5—склад|,,0.0,0.0,2026-03-16 10:09:38.789,2026-01-27 14:18:02.605,N,0,
1718,12,1,1322342366,Склад,Холендри на резба,Холендър 316L резба вътрешна PTFE 150LBS 2“,M,L,L,28.46,0.0,0.0,0.0,0.0,1.0,2.0,,|1—холендер с PTFE|2—2`|5—склад|,,0.0,0.0,2026-03-16 10:10:04.762,2026-01-27 14:18:06.402,N,0,
1718,14,1,1318941199,Склад,Холендри на резба,Холендър 316L резба вътрешна PTFE 150LBS 1/2“,M,L,L,7.59,0.0,0.0,0.0,0.0,1.0,2.0,,|1—холендер вътр.резба PTFE|2—1/2`|5—склад|,,0.0,0.0,2026-02-10 09:53:16.528,2026-01-27 14:17:48.424,N,0,
1718,16,1,1318263854,Склад,Холендри на резба,Холендър 316L резба вътрешна PTFE 150LBS 1“,M,L,L,13.498056,0.0,0.0,0.0,0.0,1.0,2.0,,|1—холендер вътр.резба PTFE|2—1`|5—склад|,,0.0,0.0,2026-02-03 15:19:30.193,2026-01-27 14:17:57.355,N,0,
1718,18,1,1317545275,Склад,2.2. Фитинги за заваряване,Холендър 316L заварка PTFE 1“,M,L,L,17.98,0.0,0.0,0.0,0.0,1.0,2.0,,"|1—холендер PTFE ж/ж, BSP|2—1`|5—склад|",,0.0,0.0,2026-01-27 14:17:29.146,2026-01-27 14:17:29.146,N,0,
1718,20,1,1316451353,Склад,Холендри на резба,Холендър 316L резба М/Ж PTFE 150LBS 2“,M,L,L,53.378676,0.0,0.0,0.0,0.0,1.0,2.0,,"|1—холендер PTFE м/ж, BSP|2—2`|5—склад|",,0.0,0.0,2026-01-16 12:21:51.485,2026-01-16 12:21:51.485,N,0,
1718,22,1,1322342133,Склад,Тапи на резба,Тапа 316L резба 1/4“,M,L,L,0.74,0.0,0.0,0.0,0.0,1.0,2.0,,|1—хексагонална тапа|2—1/4`|5—склад|,,0.0,0.0,2026-03-16 10:06:42.822,2026-01-27 14:17:03.127,N,0,
1718,24,1,1320962450,Склад,Тапи на резба,Тапа 316L резба 1/2“,M,L,L,0.9663416554608529,0.0,0.0,0.0,0.0,1.0,2.0,,|1—хексагонална тапа|2—1/2`|5—склад|,,0.0,0.0,2026-03-02 14:59:16.614,2025-08-06 14:43:51.141,N,0,
1718,26,1,1322342097,Склад,Тапи на резба,Тапа 316L резба 1 1/4“,M,L,L,2.54,0.0,0.0,0.0,0.0,1.0,2.0,,|1—хексагонална тапа|2—1.25|5—склад|,,0.0,0.0,2026-03-16 10:06:11.559,2026-01-27 14:17:15.006,N,0,
1718,28,1,1322342158,Склад,Тапи на резба,Тапа 316L резба 2“,M,L,L,5.08,0.0,0.0,0.0,0.0,1.0,2.0,,|1—хексагонална тапа|2—2`|5—склад|,,0.0,0.0,2026-03-16 10:07:04.357,2026-01-27 14:17:19.537,N,0,
1718,30,1,1322341960,Склад,Тройници на резба,Тройник 316L резба вътрешна 1/4“,M,L,L,1.36,0.0,0.0,0.0,0.0,10.0,10.0,,|1—тройник вътр. резба|2—1/4`|5—склад|,,0.0,0.0,2026-03-16 10:04:13.525,2026-01-27 14:16:47.472,N,0,
1718,32,1,1317461726,Склад,Тройници на резба,Тройник 316L резба вътрешна 1/2“,M,L,L,2.32637,0.0,0.0,0.0,0.0,1.0,2.0,,|1—тройник вътр. резба|2—1/2`|5—склад|,,0.0,0.0,2026-01-27 14:16:38.488,2026-01-27 14:16:38.488,N,0,
1718,34,1,1320962450,Склад,Кръстове на резба,Кръст 316L резба 1/2“,M,L,L,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,|1—кръст|2—1/2`|5—склад|,,0.0,0.0,2026-03-02 14:59:16.708,2026-01-27 14:11:17.029,N,0,
